epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.94568,3.94542,0.00872,10.1187,12.4318,-2.3056
1,val,2.31115,2.31115,0.00002,7.6227,9.5149,-0.9615
2,train,2.26825,2.26709,0.03866,7.2356,9.4237,-0.6402
2,val,1.50499,1.50499,0.00001,6.1934,7.6781,-0.2773
3,train,1.87949,1.87892,0.01905,7.4990,8.5791,-0.3475
3,val,1.17341,1.17341,0.00001,5.7455,6.7797,0.0041
4,train,1.01821,1.01746,0.02494,5.0778,6.3132,0.0366
4,val,1.03327,1.03327,0.00000,5.4276,6.3620,0.1230
5,train,1.38607,1.38572,0.01159,6.4479,7.3676,-0.0296
5,val,1.02472,1.02472,0.00000,5.4661,6.3356,0.1303
6,train,0.74788,0.74756,0.01055,4.4933,5.4114,0.3601
6,val,0.66401,0.66401,0.00000,3.7814,5.1001,0.4364
7,train,0.72033,0.72024,0.00272,4.4754,5.3116,0.4259
7,val,0.67411,0.67411,0.00000,3.6029,5.1387,0.4279
8,train,0.55684,0.55682,0.00038,3.9313,4.6703,0.5802
8,val,0.68816,0.68816,0.00000,3.8748,5.1920,0.4159
9,train,0.77866,0.77866,0.00010,4.5722,5.5228,0.4817
9,val,0.80610,0.80610,0.00000,3.8654,5.6193,0.3158
10,train,0.45792,0.45791,0.00004,3.3575,4.2353,0.6471
10,val,0.64325,0.64325,0.00000,3.6281,5.0197,0.4541
11,train,0.48288,0.48288,0.00002,3.5575,4.3492,0.6384
11,val,0.55387,0.55387,0.00000,3.5535,4.6579,0.5299
12,train,0.51999,0.51999,0.00007,3.6812,4.5132,0.6425
12,val,0.67701,0.67701,0.00000,3.3460,5.1498,0.4254
13,train,0.31656,0.31655,0.00022,2.6184,3.5214,0.7505
13,val,0.51823,0.51823,0.00000,3.7480,4.5056,0.5602
14,train,0.32626,0.32626,0.00002,2.7876,3.5750,0.7465
14,val,0.50816,0.50816,0.00000,3.0625,4.4616,0.5687
15,train,0.24643,0.24643,0.00003,2.5567,3.1070,0.8194
15,val,0.72121,0.72121,0.00000,3.8887,5.3152,0.3879
16,train,0.35505,0.35505,0.00006,2.9347,3.7293,0.7190
16,val,0.51401,0.51401,0.00000,3.2277,4.4872,0.5637
17,train,0.19960,0.19960,0.00005,2.2042,2.7962,0.8274
17,val,0.56360,0.56360,0.00000,3.2837,4.6987,0.5217
18,train,0.28653,0.28653,0.00003,2.6383,3.3502,0.8064
18,val,0.40351,0.40351,0.00000,3.0016,3.9757,0.6575
19,train,0.28740,0.28739,0.00007,2.5621,3.3553,0.7299
19,val,0.43189,0.43189,0.00000,2.6228,4.1132,0.6334
20,train,0.25773,0.25773,0.00002,2.6082,3.1774,0.7503
20,val,0.48331,0.48331,0.00000,3.1357,4.3511,0.5898
21,train,0.30970,0.30969,0.00046,2.9617,3.4830,0.8065
21,val,0.49133,0.49133,0.00000,3.2247,4.3871,0.5830
22,train,0.15913,0.15913,0.00002,1.9128,2.4967,0.8688
22,val,0.50727,0.50727,0.00000,2.7953,4.4577,0.5695
23,train,0.16842,0.16842,0.00004,2.0258,2.5685,0.8723
23,val,0.49625,0.49625,0.00000,3.0754,4.4090,0.5788
24,train,0.19492,0.19492,0.00005,2.2138,2.7632,0.8405
24,val,0.52407,0.52407,0.00000,2.9221,4.5309,0.5552
25,train,0.19704,0.19704,0.00004,2.1880,2.7782,0.8565
25,val,0.48471,0.48471,0.00000,2.6988,4.3574,0.5886
26,train,0.07702,0.07702,0.00019,1.3781,1.7369,0.9508
26,val,0.46282,0.46282,0.00000,3.0508,4.2579,0.6072
27,train,0.14731,0.14729,0.00073,1.8352,2.4020,0.8881
27,val,0.48825,0.48825,0.00000,2.7731,4.3733,0.5856
28,train,0.17520,0.17519,0.00045,2.0372,2.6196,0.8588
28,val,0.55065,0.55065,0.00000,2.9091,4.6444,0.5326
29,train,0.13843,0.13841,0.00075,1.6585,2.3285,0.8764
29,val,0.59057,0.59057,0.00000,3.6650,4.8098,0.4988
30,train,0.10228,0.10228,0.00003,1.6202,2.0017,0.9249
30,val,0.57236,0.57236,0.00000,2.8805,4.7350,0.5142
31,train,0.12806,0.12806,0.00002,1.7374,2.2397,0.8841
31,val,0.55281,0.55281,0.00000,3.4545,4.6535,0.5308
32,train,0.09275,0.09274,0.00003,1.4477,1.9060,0.9353
32,val,0.51138,0.51138,0.00000,3.1728,4.4757,0.5660
33,train,0.12683,0.12683,0.00002,1.7795,2.2290,0.9059
33,val,0.50377,0.50377,0.00000,2.8443,4.4423,0.5724
34,train,0.13424,0.13424,0.00000,1.8208,2.2931,0.8704
34,val,0.58585,0.58585,0.00000,3.2291,4.7905,0.5028
35,train,0.13867,0.13867,0.00011,1.7550,2.3306,0.9057
35,val,0.61603,0.61603,0.00000,3.6014,4.9124,0.4772
36,train,0.11507,0.11505,0.00060,1.7077,2.1229,0.8974
36,val,0.60186,0.60186,0.00000,3.6199,4.8555,0.4892
37,train,0.12343,0.12330,0.00441,1.5967,2.1977,0.9044
37,val,0.52978,0.52978,0.00000,3.0874,4.5555,0.5504
38,train,0.07061,0.07060,0.00055,1.2490,1.6630,0.9542
38,val,0.66601,0.66601,0.00000,4.3357,5.1078,0.4347
39,train,0.10386,0.10386,0.00000,1.5766,2.0171,0.9186
39,val,0.44022,0.44022,0.00000,2.7925,4.1526,0.6264
40,train,0.08638,0.08638,0.00000,1.4219,1.8395,0.9424
40,val,0.48199,0.48199,0.00000,2.8921,4.3452,0.5909
41,train,0.10614,0.10614,0.00000,1.5810,2.0390,0.9248
41,val,0.51935,0.51935,0.00000,2.9645,4.5105,0.5592
42,train,0.10181,0.10181,0.00001,1.5757,1.9970,0.9215
42,val,0.51552,0.51552,0.00000,2.9013,4.4938,0.5625
43,train,0.08856,0.08856,0.00001,1.5016,1.8625,0.9216
43,val,0.53410,0.53410,0.00000,3.2575,4.5740,0.5467
44,train,0.09814,0.09814,0.00004,1.5146,1.9607,0.9334
44,val,0.60242,0.60242,0.00000,3.7505,4.8578,0.4887
45,train,0.06915,0.06909,0.00206,1.2282,1.6451,0.9486
45,val,0.54489,0.54489,0.00000,3.4675,4.6200,0.5375
46,train,0.06275,0.06275,0.00015,1.1018,1.5678,0.9595
46,val,0.56904,0.56904,0.00000,3.4268,4.7213,0.5170
47,train,0.07407,0.07407,0.00020,1.3130,1.7033,0.9525
47,val,0.56313,0.56313,0.00000,3.7790,4.6967,0.5221
48,train,0.05038,0.05037,0.00014,1.1279,1.4047,0.9688
48,val,0.51765,0.51765,0.00000,2.9822,4.5031,0.5607
49,train,0.08407,0.08407,0.00004,1.4184,1.8147,0.9294
49,val,0.55740,0.55740,0.00000,3.6425,4.6727,0.5269
50,train,0.10207,0.10207,0.00000,1.6258,1.9996,0.9262
50,val,0.54415,0.54415,0.00000,3.0937,4.6169,0.5382
51,train,0.09776,0.09776,0.00003,1.5604,1.9569,0.9209
51,val,0.53302,0.53302,0.00000,3.0118,4.5694,0.5476
52,train,0.07018,0.07018,0.00002,1.2826,1.6580,0.9546
52,val,0.50968,0.50968,0.00000,3.4200,4.4682,0.5674
53,train,0.04877,0.04877,0.00004,1.0597,1.3822,0.9612
53,val,0.46751,0.46751,0.00000,3.3754,4.2794,0.6032
54,train,0.05889,0.05889,0.00004,1.1090,1.5188,0.9594
54,val,0.50147,0.50147,0.00000,3.1865,4.4321,0.5744
55,train,0.04486,0.04486,0.00009,1.0229,1.3256,0.9723
55,val,0.60213,0.60213,0.00000,3.6461,4.8566,0.4890
56,train,0.07989,0.07989,0.00010,1.2713,1.7690,0.9417
56,val,0.61438,0.61438,0.00000,3.9770,4.9058,0.4786
57,train,0.05862,0.05835,0.00911,1.1596,1.5118,0.9536
57,val,0.53662,0.53662,0.00000,3.5982,4.5848,0.5446
58,train,0.06919,0.06919,0.00007,1.2287,1.6463,0.9435
58,val,0.49197,0.49197,0.00000,3.3401,4.3900,0.5824
59,train,0.05582,0.05582,0.00001,1.2087,1.4787,0.9507
59,val,0.48770,0.48770,0.00000,3.2125,4.3709,0.5861
