epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.50751,3.50751,0.04648,9.3357,11.7216,-1.1774
1,val,1.34191,1.34191,0.04690,5.7596,7.2502,-0.4755
2,train,2.03533,2.03533,0.04312,7.6307,8.9291,-0.3586
2,val,0.83942,0.83942,0.04684,4.7855,5.7343,0.0770
3,train,1.24868,1.24868,0.00540,6.0009,6.9938,0.1042
3,val,0.62887,0.62887,0.04341,3.9946,4.9633,0.3085
4,train,1.36059,1.36059,0.03385,6.2919,7.3005,0.1188
4,val,0.49829,0.49829,0.04204,3.8520,4.4180,0.4521
5,train,0.65248,0.65248,0.01303,3.8348,5.0556,0.5373
5,val,0.47387,0.47387,0.04131,3.9493,4.3084,0.4789
6,train,0.68057,0.68057,0.01132,4.0822,5.1633,0.5483
6,val,0.54480,0.54480,0.04447,3.9669,4.6196,0.4009
7,train,0.68477,0.68477,0.00733,3.7897,5.1792,0.5935
7,val,0.45610,0.45610,0.05180,3.7446,4.2269,0.4985
8,train,0.74648,0.74648,0.00890,4.6333,5.4075,0.4716
8,val,0.34924,0.34924,0.05370,3.1504,3.6987,0.6160
9,train,0.58002,0.58002,0.00226,3.8011,4.7666,0.6045
9,val,0.47223,0.47223,0.05727,3.4966,4.3009,0.4807
10,train,0.39001,0.39001,0.00211,3.1012,3.9087,0.7151
10,val,0.45320,0.45320,0.05379,2.8746,4.2134,0.5017
11,train,0.20825,0.20825,0.00085,2.2742,2.8561,0.8663
11,val,0.59828,0.59828,0.05087,3.9811,4.8411,0.3421
12,train,0.33953,0.33953,0.00184,2.7217,3.6469,0.7501
12,val,0.37933,0.37933,0.04791,2.7453,3.8548,0.5829
13,train,0.31187,0.31187,0.00931,2.8833,3.4953,0.7753
13,val,0.61908,0.61908,0.04609,4.0476,4.9245,0.3193
14,train,0.34336,0.34336,0.00360,2.9100,3.6675,0.7250
14,val,0.43197,0.43197,0.04093,2.6607,4.1136,0.5250
15,train,0.23749,0.23749,0.00603,2.5229,3.0501,0.8400
15,val,0.58203,0.58203,0.02735,3.5112,4.7749,0.3600
16,train,0.24975,0.24975,0.00167,2.4609,3.1278,0.8406
16,val,0.47464,0.47464,0.01081,2.9016,4.3119,0.4781
17,train,0.22951,0.22951,0.00061,2.4460,2.9984,0.8567
17,val,0.41783,0.41783,0.00759,2.9145,4.0457,0.5406
18,train,0.13686,0.13686,0.00084,1.8980,2.3154,0.9106
18,val,0.41937,0.41937,0.00652,2.8008,4.0531,0.5389
19,train,0.21537,0.21537,0.00021,2.2201,2.9046,0.8129
19,val,0.38893,0.38893,0.00480,2.8171,3.9032,0.5723
20,train,0.17446,0.17446,0.00037,1.9041,2.6142,0.8894
20,val,0.43521,0.43521,0.00434,3.1767,4.1289,0.5215
21,train,0.20034,0.20034,0.00041,2.1681,2.8014,0.8656
21,val,0.50645,0.50645,0.00217,3.4600,4.4541,0.4431
22,train,0.12524,0.12524,0.00057,1.7492,2.2149,0.9069
22,val,0.54570,0.54570,0.00112,3.3308,4.6234,0.4000
23,train,0.18257,0.18257,0.00032,2.0290,2.6743,0.8716
23,val,0.47356,0.47356,0.00139,3.6294,4.3070,0.4793
24,train,0.12448,0.12448,0.00051,1.6364,2.2082,0.9183
24,val,0.50263,0.50263,0.00126,3.3494,4.4373,0.4473
25,train,0.13634,0.13634,0.00029,1.8285,2.3110,0.8968
25,val,0.39150,0.39150,0.00131,2.9965,3.9161,0.5695
26,train,0.15368,0.15368,0.00017,1.7653,2.4536,0.8914
26,val,0.41631,0.41631,0.00122,2.8440,4.0383,0.5422
27,train,0.06829,0.06829,0.00002,1.1809,1.6355,0.9465
27,val,0.55473,0.55473,0.00135,3.8054,4.6615,0.3900
28,train,0.11959,0.11959,0.00011,1.6050,2.1644,0.9214
28,val,0.48582,0.48582,0.00119,3.2544,4.3624,0.4658
29,train,0.10977,0.10977,0.00010,1.5344,2.0736,0.9302
29,val,0.49347,0.49347,0.00105,3.4566,4.3966,0.4574
30,train,0.10480,0.10480,0.00008,1.3949,2.0261,0.9202
30,val,0.52023,0.52023,0.00068,3.5065,4.5142,0.4280
31,train,0.08036,0.08036,0.00009,1.4249,1.7742,0.9455
31,val,0.49004,0.49004,0.00077,3.7239,4.3813,0.4612
32,train,0.07353,0.07353,0.00006,1.2194,1.6971,0.9496
32,val,0.70668,0.70668,0.00054,4.4721,5.2614,0.2230
33,train,0.13818,0.13818,0.00005,1.6933,2.3266,0.8926
33,val,0.38458,0.38458,0.00062,3.1662,3.8813,0.5771
34,train,0.13700,0.13700,0.00010,1.8130,2.3166,0.8861
34,val,0.34734,0.34734,0.00046,3.0576,3.6887,0.6181
35,train,0.05206,0.05206,0.00002,1.1925,1.4281,0.9582
35,val,0.47551,0.47551,0.00031,3.6837,4.3159,0.4771
36,train,0.08777,0.08777,0.00005,1.3333,1.8543,0.9260
36,val,0.48712,0.48712,0.00017,3.4609,4.3682,0.4644
37,train,0.12831,0.12831,0.00003,1.6994,2.2419,0.8824
37,val,0.48266,0.48266,0.00025,3.7289,4.3482,0.4693
38,train,0.07404,0.07404,0.00005,1.3257,1.7031,0.9486
38,val,0.61453,0.61453,0.00022,3.9119,4.9064,0.3243
39,train,0.07903,0.07903,0.00003,1.4247,1.7595,0.9422
39,val,0.49601,0.49601,0.00035,3.7380,4.4079,0.4546
