epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.63663,3.63642,0.00698,9.7959,11.9351,-1.7753
1,val,1.79398,1.79397,0.00001,6.6885,8.3830,-0.5226
2,train,1.66059,1.65949,0.03645,6.5172,8.0626,-0.2738
2,val,1.20205,1.20205,0.00001,5.8370,6.8620,-0.0202
3,train,1.39185,1.39111,0.02460,6.3629,7.3819,0.0080
3,val,0.98831,0.98831,0.00001,5.2763,6.2221,0.1612
4,train,0.88203,0.88084,0.03972,4.7643,5.8740,0.2065
4,val,0.78377,0.78377,0.00001,3.8812,5.5409,0.3348
5,train,0.95340,0.95250,0.02997,5.2044,6.1083,0.2692
5,val,0.63387,0.63387,0.00001,3.6203,4.9830,0.4620
6,train,0.55213,0.55180,0.01113,3.6405,4.6492,0.5318
6,val,0.63417,0.63417,0.00002,3.6063,4.9841,0.4618
7,train,0.51137,0.51072,0.02144,3.4181,4.4728,0.5766
7,val,0.60957,0.60957,0.00001,3.3966,4.8865,0.4826
8,train,0.48509,0.48465,0.01465,3.5886,4.3572,0.6093
8,val,0.62586,0.62586,0.00001,4.1194,4.9514,0.4688
9,train,0.53463,0.53404,0.01968,3.6872,4.5738,0.6488
9,val,0.66435,0.66435,0.00001,3.3673,5.1014,0.4361
10,train,0.33729,0.33713,0.00553,2.8024,3.6340,0.7328
10,val,0.53095,0.53095,0.00001,3.6903,4.5605,0.5494
11,train,0.45669,0.45512,0.05214,3.4705,4.2223,0.6497
11,val,0.70039,0.70039,0.00000,4.6668,5.2379,0.4056
12,train,0.30104,0.29942,0.05402,2.7781,3.4247,0.7941
12,val,0.68713,0.68713,0.00000,3.5459,5.1881,0.4168
13,train,0.29335,0.29102,0.07774,2.5802,3.3764,0.7750
13,val,0.62887,0.62887,0.00000,4.3042,4.9633,0.4663
14,train,0.32049,0.31957,0.03072,2.8828,3.5381,0.7637
14,val,0.85845,0.85845,0.00000,4.4681,5.7989,0.2714
15,train,0.26216,0.26173,0.01406,2.5658,3.2020,0.7982
15,val,0.63694,0.63694,0.00000,4.2903,4.9950,0.4594
16,train,0.32168,0.32126,0.01396,2.8615,3.5474,0.7207
16,val,0.67308,0.67308,0.00000,3.8097,5.1348,0.4287
17,train,0.21603,0.21430,0.05785,2.2263,2.8973,0.8310
17,val,0.76198,0.76198,0.00000,4.4325,5.4634,0.3533
18,train,0.22361,0.22288,0.02425,2.3414,2.9548,0.8407
18,val,0.69403,0.69403,0.00000,4.1767,5.2141,0.4110
19,train,0.28067,0.27998,0.02278,2.5535,3.3117,0.7759
