epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.15377,3.15275,0.03394,8.7936,11.1131,-1.1489
1,val,1.34918,1.34781,0.04542,5.7923,7.2661,-0.4820
2,train,1.38171,1.38136,0.01171,6.2731,7.3560,0.0112
2,val,0.88650,0.88511,0.04643,4.7998,5.8883,0.0268
3,train,1.07932,1.07773,0.05305,5.4338,6.4975,0.1939
3,val,0.58381,0.58244,0.04565,3.9100,4.7765,0.3596
4,train,1.21969,1.21890,0.02637,6.1172,6.9099,0.3183
4,val,0.44383,0.44251,0.04404,3.5870,4.1634,0.5134
5,train,0.76298,0.76175,0.04090,4.3340,5.4626,0.4933
5,val,0.43741,0.43605,0.04524,3.6651,4.1329,0.5205
6,train,0.75038,0.74990,0.01601,4.3766,5.4199,0.4241
6,val,0.49779,0.49641,0.04617,3.9333,4.4097,0.4542
7,train,0.68186,0.68175,0.00373,4.1218,5.1678,0.4738
7,val,0.64643,0.64509,0.04455,4.0334,5.0269,0.2907
8,train,1.13484,1.13452,0.01064,5.3066,6.6665,0.1366
8,val,0.38842,0.38692,0.04978,3.3507,3.8932,0.5745
9,train,0.84256,0.84243,0.00418,4.5931,5.7446,0.4751
9,val,0.68458,0.68285,0.05789,4.3664,5.1719,0.2492
10,train,0.98181,0.98135,0.01552,4.9773,6.2001,0.3421
10,val,0.44643,0.44474,0.05638,3.6236,4.1739,0.5110
11,train,0.91876,0.91856,0.00640,4.7245,5.9985,0.4646
11,val,0.48147,0.47970,0.05892,3.5084,4.3348,0.4725
12,train,0.88522,0.88500,0.00735,4.0956,5.8879,0.4528
12,val,0.36118,0.35911,0.06918,3.2640,3.7506,0.6051
13,train,0.50447,0.50399,0.01592,3.4055,4.4433,0.6669
13,val,0.33940,0.33722,0.07285,3.0058,3.6345,0.6292
14,train,0.51452,0.51435,0.00573,3.5213,4.4887,0.5734
14,val,0.38398,0.38175,0.07432,3.3225,3.8670,0.5802
15,train,0.44494,0.44339,0.05186,3.2180,4.1675,0.7135
15,val,0.68488,0.68296,0.06400,4.1519,5.1723,0.2490
16,train,0.36595,0.36556,0.01288,2.9730,3.7842,0.7696
16,val,0.73850,0.73680,0.05674,4.0908,5.3723,0.1898
17,train,0.34263,0.34251,0.00396,2.9257,3.6629,0.7635
17,val,0.46802,0.46639,0.05431,3.2779,4.2743,0.4872
18,train,0.27826,0.27818,0.00266,2.5456,3.3010,0.8029
18,val,0.75554,0.75385,0.05611,4.3708,5.4342,0.1711
19,train,0.54450,0.54436,0.00484,3.4952,4.6178,0.5791
19,val,0.73446,0.73274,0.05727,4.4557,5.3575,0.1943
20,train,0.42273,0.42256,0.00569,2.9477,4.0685,0.7450
20,val,0.47852,0.47683,0.05634,3.2562,4.3219,0.4757
21,train,0.38433,0.38426,0.00225,3.0229,3.8797,0.6559
21,val,0.56002,0.55834,0.05582,3.7965,4.6767,0.3861
22,train,0.38379,0.38377,0.00069,3.0155,3.8773,0.6654
22,val,0.70544,0.70377,0.05554,4.1632,5.2506,0.2261
23,train,0.38566,0.38544,0.00749,3.1369,3.8857,0.7216
23,val,0.53447,0.53267,0.05984,3.7069,4.5679,0.4143
24,train,0.21438,0.21395,0.01416,2.2644,2.8950,0.8476
24,val,0.70620,0.70425,0.06512,4.2125,5.2523,0.2256
25,train,0.37825,0.37806,0.00626,3.0614,3.8483,0.7515
25,val,0.47647,0.47450,0.06574,3.2859,4.3113,0.4782
26,train,0.21672,0.21634,0.01249,2.3412,2.9111,0.8535
26,val,0.66521,0.66320,0.06700,3.6861,5.0970,0.2708
27,train,0.27919,0.27919,0.00000,2.4363,3.3071,0.7843
27,val,0.66435,0.66235,0.06660,3.8116,5.0937,0.2717
28,train,0.31189,0.31170,0.00609,2.8049,3.4943,0.7867
28,val,0.75576,0.75377,0.06638,3.9621,5.4338,0.1712
29,train,0.16362,0.16348,0.00490,2.0828,2.5306,0.8451
29,val,0.56239,0.56050,0.06318,3.7639,4.6857,0.3837
30,train,0.21666,0.21632,0.01135,2.3070,2.9110,0.8474
30,val,0.81757,0.81564,0.06429,4.5405,5.6525,0.1031
31,train,0.21243,0.21196,0.01575,2.1472,2.8815,0.8645
31,val,1.03124,1.02932,0.06426,4.9823,6.3499,-0.1318
32,train,0.20588,0.20536,0.01733,2.1304,2.8363,0.8417
32,val,0.87590,0.87393,0.06590,4.4137,5.8509,0.0390
33,train,0.24945,0.24897,0.01590,2.5176,3.1229,0.8121
33,val,0.87060,0.86850,0.07006,4.4524,5.8328,0.0450
34,train,0.20741,0.20667,0.02473,2.4456,2.8453,0.8597
34,val,0.91390,0.91177,0.07110,4.6851,5.9763,-0.0026
35,train,0.21102,0.20998,0.03474,2.2803,2.8680,0.8481
35,val,0.72755,0.72531,0.07475,4.2403,5.3303,0.2025
36,train,0.21868,0.21808,0.02002,2.4148,2.9228,0.8475
36,val,0.65210,0.64985,0.07521,4.0294,5.0454,0.2854
37,train,0.19729,0.19612,0.03886,2.0099,2.7717,0.8522
37,val,0.67950,0.67735,0.07190,4.0463,5.1510,0.2552
38,train,0.25401,0.25314,0.02917,2.3578,3.1490,0.8317
38,val,1.36150,1.35927,0.07443,6.0422,7.2970,-0.4946
39,train,0.18170,0.18101,0.02299,2.0047,2.6628,0.8616
39,val,0.78229,0.78017,0.07060,4.5001,5.5282,0.1421
40,train,0.23346,0.23280,0.02200,2.5172,3.0198,0.8209
40,val,1.09990,1.09790,0.06665,5.4858,6.5580,-0.2072
41,train,0.15268,0.15257,0.00363,1.9809,2.4447,0.8973
41,val,0.55023,0.54831,0.06400,3.9163,4.6345,0.3971
42,train,0.14729,0.14687,0.01389,1.8273,2.3986,0.8800
42,val,0.78957,0.78768,0.06305,4.6730,5.5547,0.1339
43,train,0.20437,0.20417,0.00653,2.2888,2.8281,0.8541
43,val,0.89095,0.88908,0.06242,4.9375,5.9015,0.0224
44,train,0.14836,0.14743,0.03096,1.9106,2.4031,0.8921
44,val,0.62515,0.62318,0.06555,4.1861,4.9408,0.3148
45,train,0.20422,0.20378,0.01488,1.9917,2.8253,0.8650
45,val,0.70760,0.70557,0.06751,4.5452,5.2573,0.2242
46,train,0.15194,0.15142,0.01713,1.8529,2.4355,0.9012
46,val,0.68865,0.68664,0.06706,4.4883,5.1863,0.2450
47,train,0.14000,0.13985,0.00494,1.7907,2.3406,0.9066
47,val,0.75767,0.75569,0.06578,4.4892,5.4408,0.1691
48,train,0.14784,0.14781,0.00132,1.8547,2.4062,0.8907
48,val,0.86290,0.86094,0.06536,4.9333,5.8073,0.0533
49,train,0.20186,0.20141,0.01493,2.0912,2.8089,0.8470
49,val,0.56764,0.56576,0.06260,3.8873,4.7077,0.3779
50,train,0.16859,0.16806,0.01750,2.0163,2.5658,0.8798
50,val,0.67501,0.67321,0.06006,4.2550,5.1353,0.2598
51,train,0.20178,0.20156,0.00722,2.2248,2.8099,0.8517
51,val,0.71355,0.71175,0.05971,4.5183,5.2802,0.2174
52,train,0.11664,0.11577,0.02921,1.5814,2.1295,0.9267
52,val,0.76462,0.76278,0.06151,4.7356,5.4662,0.1613
53,train,0.10566,0.10565,0.00050,1.6068,2.0343,0.9254
53,val,0.72978,0.72783,0.06486,4.2277,5.3395,0.1997
