epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.60522,3.60500,0.00744,9.6018,11.8834,-1.8544
1,val,2.28872,2.28866,0.00205,8.0178,9.4685,-1.2769
2,train,2.21937,2.21825,0.03737,7.6365,9.3217,-0.9901
2,val,1.15957,1.15952,0.00173,5.6769,6.7395,-0.1536
3,train,1.46520,1.46429,0.03032,6.4510,7.5736,-0.0871
3,val,0.86356,0.86352,0.00144,4.9188,5.8160,0.1409
4,train,1.38762,1.38550,0.07061,6.4139,7.3670,0.0557
4,val,0.62900,0.62897,0.00094,4.3122,4.9637,0.3743
5,train,0.82102,0.82026,0.02525,4.6981,5.6684,0.3165
5,val,0.50546,0.50545,0.00036,3.9107,4.4497,0.4971
6,train,0.95638,0.95513,0.04147,5.0231,6.1168,0.3854
6,val,0.66851,0.66851,0.00017,4.2995,5.1173,0.3349
7,train,0.86384,0.86307,0.02567,4.7292,5.8145,0.3789
7,val,0.63379,0.63379,0.00009,3.7941,4.9826,0.3695
8,train,0.78145,0.78115,0.01008,4.2682,5.5317,0.2492
8,val,0.55044,0.55044,0.00003,3.9395,4.6435,0.4524
9,train,0.72290,0.72234,0.01872,4.3321,5.3194,0.4871
9,val,0.60470,0.60470,0.00002,4.0058,4.8670,0.3984
10,train,0.51815,0.51757,0.01934,3.5601,4.5027,0.6474
10,val,0.67069,0.67069,0.00001,4.0014,5.1257,0.3327
11,train,0.43708,0.43704,0.00152,3.1836,4.1376,0.6752
11,val,1.05593,1.05593,0.00000,5.2880,6.4314,-0.0505
12,train,0.47584,0.47541,0.01443,3.1562,4.3154,0.6791
12,val,0.67601,0.67601,0.00000,3.8065,5.1459,0.3275
13,train,0.63858,0.63855,0.00093,4.1344,5.0014,0.3779
13,val,0.39610,0.39610,0.00000,3.3793,3.9390,0.6059
14,train,0.36773,0.36679,0.03123,3.0680,3.7905,0.7314
14,val,0.54677,0.54677,0.00000,3.6582,4.6280,0.4560
15,train,0.34304,0.34270,0.01161,3.0887,3.6639,0.7649
15,val,0.81192,0.81192,0.00000,4.4914,5.6396,0.1922
16,train,0.26408,0.26406,0.00042,2.5282,3.2162,0.8171
16,val,0.76654,0.76654,0.00000,4.3101,5.4797,0.2374
17,train,0.35940,0.35868,0.02398,2.8711,3.7483,0.7289
17,val,0.57394,0.57394,0.00000,3.8666,4.7416,0.4290
18,train,0.31794,0.31794,0.00009,2.9342,3.5291,0.7784
18,val,0.60875,0.60875,0.00000,4.0922,4.8832,0.3944
19,train,0.24522,0.24443,0.02618,2.4665,3.0944,0.8196
19,val,0.63237,0.63237,0.00000,3.8867,4.9771,0.3709
20,train,0.35537,0.35481,0.01853,2.6598,3.7281,0.7487
20,val,0.66307,0.66307,0.00000,4.0837,5.0964,0.3403
21,train,0.13405,0.13325,0.02663,1.6612,2.2847,0.9060
21,val,0.58569,0.58569,0.00001,3.8334,4.7899,0.4173
22,train,0.18388,0.18278,0.03687,2.1344,2.6758,0.8528
22,val,0.55182,0.55182,0.00001,3.7966,4.6493,0.4510
23,train,0.21061,0.20976,0.02829,2.1921,2.8665,0.8613
23,val,0.59997,0.59997,0.00000,4.0255,4.8479,0.4031
24,train,0.16271,0.16266,0.00174,1.8857,2.5242,0.8691
24,val,0.53230,0.53230,0.00003,3.4278,4.5663,0.4704
25,train,0.25338,0.25308,0.00993,2.4512,3.1486,0.8154
25,val,0.60537,0.60536,0.00001,4.1070,4.8696,0.3977
26,train,0.18140,0.18115,0.00825,2.1608,2.6639,0.8608
26,val,0.54564,0.54564,0.00010,3.8106,4.6232,0.4572
27,train,0.11320,0.11272,0.01584,1.5988,2.1013,0.9115
27,val,0.54408,0.54407,0.00005,3.8885,4.6166,0.4587
28,train,0.19175,0.19159,0.00514,1.9876,2.7396,0.8566
28,val,0.49799,0.49799,0.00005,3.6632,4.4167,0.5046
29,train,0.10587,0.10559,0.00938,1.6227,2.0338,0.9277
29,val,0.51014,0.51014,0.00010,3.6950,4.4703,0.4925
30,train,0.08112,0.08084,0.00932,1.4711,1.7795,0.9519
30,val,0.57437,0.57437,0.00008,3.8370,4.7433,0.4286
31,train,0.07889,0.07881,0.00259,1.3625,1.7571,0.9398
31,val,0.55793,0.55793,0.00008,3.8933,4.6750,0.4449
32,train,0.12777,0.12773,0.00133,1.7704,2.2368,0.9053
32,val,0.50729,0.50729,0.00007,3.6997,4.4577,0.4953
33,train,0.16664,0.16658,0.00209,1.9841,2.5544,0.8717
33,val,0.40294,0.40293,0.00014,3.2661,3.9729,0.5991
34,train,0.12553,0.12547,0.00221,1.8156,2.2169,0.8837
34,val,0.39350,0.39350,0.00009,3.2519,3.9261,0.6085
35,train,0.16049,0.16046,0.00116,2.0163,2.5071,0.8509
35,val,0.42200,0.42200,0.00004,3.3428,4.0658,0.5802
36,train,0.08337,0.08331,0.00215,1.2470,1.8065,0.9408
36,val,0.46456,0.46456,0.00001,3.5402,4.2659,0.5378
37,train,0.09864,0.09859,0.00183,1.5376,1.9652,0.9445
37,val,0.46021,0.46021,0.00001,3.6656,4.2459,0.5422
38,train,0.09802,0.09797,0.00193,1.5470,1.9590,0.9176
38,val,0.52962,0.52962,0.00002,3.7999,4.5548,0.4731
39,train,0.09885,0.09883,0.00090,1.5431,1.9676,0.9196
39,val,0.56176,0.56176,0.00002,4.0057,4.6910,0.4411
40,train,0.16099,0.16098,0.00010,1.8213,2.5112,0.8796
40,val,0.52628,0.52628,0.00001,3.8867,4.5404,0.4764
41,train,0.12055,0.12047,0.00274,1.7143,2.1724,0.9011
41,val,0.48848,0.48848,0.00000,3.8437,4.3743,0.5140
42,train,0.10969,0.10967,0.00057,1.5431,2.0727,0.9276
42,val,0.49025,0.49025,0.00000,3.5889,4.3823,0.5123
43,train,0.09730,0.09730,0.00014,1.4522,1.9523,0.9317
43,val,0.45611,0.45611,0.00000,3.6004,4.2269,0.5462
44,train,0.08741,0.08729,0.00415,1.4170,1.8491,0.9387
44,val,0.39735,0.39735,0.00001,3.4080,3.9452,0.6047
45,train,0.07973,0.07970,0.00076,1.3570,1.7670,0.9421
45,val,0.51401,0.51401,0.00000,3.8335,4.4872,0.4886
46,train,0.06426,0.06425,0.00041,1.1746,1.5864,0.9511
46,val,0.45512,0.45512,0.00000,3.6793,4.2223,0.5472
47,train,0.04802,0.04801,0.00026,1.0599,1.3713,0.9684
47,val,0.41191,0.41191,0.00000,3.4592,4.0169,0.5902
48,train,0.09657,0.09656,0.00053,1.4414,1.9448,0.9316
48,val,0.34926,0.34926,0.00001,3.2272,3.6988,0.6525
49,train,0.11012,0.11012,0.00016,1.5817,2.0769,0.9136
49,val,0.33947,0.33947,0.00000,3.0960,3.6466,0.6623
50,train,0.07586,0.07586,0.00019,1.4039,1.7238,0.9513
50,val,0.41312,0.41312,0.00000,3.3346,4.0228,0.5890
51,train,0.06020,0.06014,0.00187,1.2839,1.5349,0.9558
51,val,0.40688,0.40688,0.00000,3.3682,3.9923,0.5952
52,train,0.06826,0.06826,0.00025,1.2898,1.6352,0.9496
52,val,0.43550,0.43550,0.00000,3.5341,4.1303,0.5667
53,train,0.06928,0.06927,0.00048,1.1718,1.6473,0.9546
53,val,0.43262,0.43262,0.00000,3.5025,4.1166,0.5696
54,train,0.05683,0.05682,0.00020,1.1779,1.4919,0.9546
