epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.72892,3.72569,0.10749,9.9546,12.0807,-1.8444
1,val,2.09264,2.09263,0.00006,7.2450,9.0539,-0.7761
2,train,2.25687,2.25579,0.03590,7.8558,9.4002,-0.5386
2,val,1.39730,1.39730,0.00003,6.0976,7.3983,-0.1859
3,train,1.68276,1.68111,0.05489,6.6942,8.1150,-0.3506
3,val,1.14359,1.14359,0.00001,5.7717,6.6930,0.0294
4,train,1.31872,1.31736,0.04547,6.2590,7.1836,-0.0396
4,val,1.19388,1.19388,0.00000,5.8491,6.8386,-0.0133
5,train,0.89934,0.89858,0.02560,5.0971,5.9329,0.2104
5,val,0.90617,0.90617,0.00000,4.9369,5.9579,0.2309
6,train,0.81594,0.81593,0.00019,4.6626,5.6535,0.4276
6,val,0.73408,0.73408,0.00000,3.8305,5.3624,0.3770
7,train,0.67177,0.67177,0.00003,4.4158,5.1298,0.5669
7,val,0.78678,0.78678,0.00000,4.2362,5.5516,0.3322
8,train,0.45574,0.45574,0.00003,3.4888,4.2252,0.6342
8,val,0.89612,0.89612,0.00000,4.3602,5.9248,0.2394
9,train,0.41205,0.41205,0.00000,3.2532,4.0176,0.6715
9,val,0.79908,0.79908,0.00000,4.1755,5.5948,0.3218
10,train,0.60377,0.60377,0.00000,3.8183,4.8632,0.5881
10,val,0.74452,0.74452,0.00000,3.8474,5.4004,0.3681
11,train,0.43541,0.43541,0.00001,3.4230,4.1299,0.6867
11,val,0.71567,0.71567,0.00000,3.7546,5.2948,0.3926
12,train,0.34934,0.34934,0.00002,2.7964,3.6992,0.7236
12,val,0.71023,0.71023,0.00000,4.0388,5.2746,0.3972
13,train,0.24700,0.24700,0.00003,2.4358,3.1106,0.7974
13,val,0.64444,0.64444,0.00000,3.2984,5.0244,0.4530
14,train,0.29543,0.29541,0.00038,2.5764,3.4018,0.7514
14,val,0.66092,0.66092,0.00000,3.2209,5.0882,0.4391
15,train,0.35105,0.35104,0.00040,2.9497,3.7082,0.7121
15,val,0.60638,0.60638,0.00000,3.9739,4.8737,0.4853
16,train,0.22114,0.22114,0.00010,2.1543,2.9432,0.8546
16,val,0.58688,0.58688,0.00000,3.3741,4.7947,0.5019
17,train,0.36941,0.36940,0.00025,2.7945,3.8040,0.7248
17,val,0.81180,0.81180,0.00000,5.0677,5.6392,0.3110
18,train,0.41180,0.41177,0.00106,2.9466,4.0162,0.6595
18,val,0.59314,0.59314,0.00000,3.7574,4.8202,0.4966
19,train,0.23087,0.23085,0.00050,2.2989,3.0072,0.8391
19,val,0.57732,0.57732,0.00000,3.8302,4.7555,0.5100
20,train,0.16906,0.16894,0.00416,2.0863,2.5725,0.8585
20,val,0.70192,0.70192,0.00000,4.6623,5.2436,0.4043
21,train,0.16887,0.16887,0.00008,1.9185,2.5720,0.8730
21,val,0.54127,0.54127,0.00000,3.3488,4.6046,0.5406
22,train,0.17507,0.17506,0.00050,2.1309,2.6187,0.8617
22,val,0.66178,0.66178,0.00000,4.4881,5.0915,0.4383
23,train,0.26787,0.26786,0.00025,2.4214,3.2393,0.8197
23,val,0.55300,0.55300,0.00000,3.7615,4.6543,0.5307
24,train,0.21577,0.21575,0.00075,1.9897,2.9071,0.8352
24,val,0.54418,0.54418,0.00000,3.6864,4.6170,0.5381
25,train,0.13261,0.13200,0.02049,1.6502,2.2739,0.9036
