epoch,phase,total,main,shunt,mae,rmse,r2
1,train,4.95837,4.94926,0.30365,11.5227,13.9238,-2.4155
1,val,2.11241,2.10589,0.21734,7.7898,9.0825,-1.2722
2,train,2.23415,2.22503,0.30383,7.8676,9.3359,-0.3403
2,val,1.11936,1.11276,0.21988,5.3207,6.6022,-0.2007
3,train,1.36384,1.35304,0.36001,6.2789,7.2802,-0.0313
3,val,0.92895,0.92305,0.19646,4.9618,6.0131,0.0040
4,train,1.16982,1.15982,0.33330,5.7245,6.7404,0.0189
4,val,0.87860,0.87331,0.17645,4.8087,5.8489,0.0577
5,train,1.44535,1.43701,0.27805,6.6349,7.5027,-0.0236
5,val,0.83881,0.83462,0.13941,4.6760,5.7179,0.0994
6,train,1.10938,1.10363,0.19163,5.6055,6.5751,0.2656
6,val,0.57583,0.57104,0.15973,3.6911,4.7296,0.3839
7,train,0.57440,0.56897,0.18109,3.7737,4.7210,0.4238
7,val,0.65362,0.64755,0.20264,4.2643,5.0364,0.3013
8,train,0.60638,0.60032,0.20182,4.1088,4.8493,0.6104
8,val,0.44879,0.44407,0.15737,3.4880,4.1707,0.5209
9,train,0.36431,0.35841,0.19656,2.8074,3.7470,0.7416
9,val,0.42155,0.41741,0.13793,3.4036,4.0436,0.5496
10,train,0.40168,0.39700,0.15625,2.7465,3.9435,0.6795
10,val,0.44038,0.43614,0.14151,3.4162,4.1333,0.5294
11,train,0.49237,0.48450,0.26208,3.2655,4.3565,0.6957
11,val,0.39411,0.38983,0.14273,3.2200,3.9078,0.5794
12,train,0.25694,0.25033,0.22035,2.2723,3.1314,0.7757
12,val,0.57134,0.56725,0.13615,4.0614,4.7139,0.3879
13,train,0.36936,0.36375,0.18722,2.8248,3.7748,0.7435
13,val,0.39757,0.39336,0.14060,3.3394,3.9254,0.5756
14,train,0.25635,0.24858,0.25895,2.5733,3.1205,0.8243
14,val,0.47453,0.47012,0.14691,3.4009,4.2913,0.4927
15,train,0.33277,0.32317,0.31979,2.8747,3.5580,0.7546
15,val,0.31785,0.31336,0.14994,3.0266,3.5035,0.6619
16,train,0.37772,0.36871,0.30048,3.1139,3.8004,0.6859
16,val,0.44698,0.44257,0.14709,3.5921,4.1637,0.5225
17,train,0.25801,0.24973,0.27603,2.4642,3.1277,0.8333
17,val,0.48126,0.47684,0.14716,3.3096,4.3219,0.4855
18,train,0.19026,0.18287,0.24645,1.9796,2.6764,0.8690
18,val,0.37733,0.37320,0.13768,3.1855,3.8235,0.5973
19,train,0.13506,0.12894,0.20391,1.6916,2.2474,0.9128
19,val,0.38949,0.38518,0.14355,2.9481,3.8844,0.5844
20,train,0.24653,0.23817,0.27885,2.1497,3.0544,0.8095
20,val,0.32449,0.32073,0.12516,2.9873,3.5445,0.6539
21,train,0.18565,0.17882,0.22751,2.0439,2.6467,0.8717
21,val,0.43397,0.43035,0.12064,2.9624,4.1058,0.5357
22,train,0.26303,0.25519,0.26136,2.4061,3.1617,0.8265
22,val,0.28344,0.27975,0.12303,2.6870,3.3104,0.6981
23,train,0.17683,0.17156,0.17556,1.9973,2.5924,0.8864
23,val,0.33964,0.33591,0.12421,3.0789,3.6275,0.6376
24,train,0.22500,0.22002,0.16598,2.1139,2.9358,0.8425
24,val,0.35068,0.34619,0.14968,2.9816,3.6825,0.6265
25,train,0.19552,0.18705,0.28239,2.1071,2.7069,0.8402
25,val,0.35541,0.34990,0.18371,3.2104,3.7022,0.6225
26,train,0.19156,0.18399,0.25256,2.1894,2.6846,0.8729
26,val,0.21645,0.21109,0.17863,2.3282,2.8756,0.7722
27,train,0.22845,0.22048,0.26543,2.0893,2.9389,0.8559
27,val,0.26692,0.26133,0.18622,2.5359,3.1995,0.7180
28,train,0.20628,0.19999,0.20954,2.2253,2.7989,0.8454
28,val,0.33143,0.32581,0.18725,3.1451,3.5725,0.6485
29,train,0.14156,0.13344,0.27068,1.7885,2.2863,0.9025
29,val,0.30155,0.29585,0.19001,2.7520,3.4043,0.6808
30,train,0.22269,0.21488,0.26017,2.2205,2.9013,0.8326
30,val,0.26242,0.25706,0.17881,2.7444,3.1733,0.7226
31,train,0.27127,0.26456,0.22375,2.5902,3.2192,0.8366
31,val,0.21479,0.20933,0.18186,2.3983,2.8635,0.7741
32,train,0.15835,0.15136,0.23292,1.8091,2.4350,0.8839
32,val,0.20341,0.19791,0.18333,2.3542,2.7843,0.7865
33,train,0.14364,0.13608,0.25183,1.7211,2.3088,0.8947
33,val,0.19218,0.18674,0.18154,2.3508,2.7046,0.7985
34,train,0.13315,0.12812,0.16749,1.6927,2.2403,0.8999
34,val,0.18373,0.17861,0.17061,2.3085,2.6451,0.8073
35,train,0.16567,0.15649,0.30590,2.0171,2.4759,0.8946
35,val,0.18226,0.17719,0.16921,2.4126,2.6345,0.8088
36,train,0.16291,0.15793,0.16581,1.8369,2.4873,0.8775
36,val,0.17661,0.17161,0.16665,2.4294,2.5927,0.8148
37,train,0.11168,0.10591,0.19238,1.5255,2.0368,0.9101
37,val,0.20401,0.19924,0.15904,2.5045,2.7937,0.7850
38,train,0.10923,0.10351,0.19068,1.3021,2.0136,0.9278
38,val,0.23876,0.23402,0.15801,2.6449,3.0277,0.7475
39,train,0.14851,0.14087,0.25456,1.9005,2.3491,0.8482
39,val,0.24441,0.23968,0.15771,2.5981,3.0641,0.7414
40,train,0.08409,0.07798,0.20391,1.3693,1.7477,0.9508
40,val,0.23334,0.22816,0.17252,2.6482,2.9896,0.7538
41,train,0.10920,0.10296,0.20812,1.6354,2.0083,0.9247
41,val,0.30957,0.30428,0.17639,2.8712,3.4524,0.6717
42,train,0.12812,0.12205,0.20215,1.6832,2.1866,0.9201
42,val,0.27846,0.27259,0.19553,2.9136,3.2677,0.7059
43,train,0.08877,0.08222,0.21817,1.3660,1.7946,0.9147
43,val,0.22237,0.21610,0.20909,2.6385,2.9095,0.7668
44,train,0.10145,0.09394,0.25040,1.4035,1.9182,0.9295
44,val,0.22836,0.22215,0.20699,2.6765,2.9499,0.7603
45,train,0.06462,0.05950,0.17068,1.2298,1.5267,0.9560
45,val,0.29656,0.29049,0.20205,2.9947,3.3733,0.6866
46,train,0.04488,0.04031,0.15232,0.9095,1.2565,0.9773
46,val,0.26718,0.26150,0.18916,2.9062,3.2006,0.7178
47,train,0.08140,0.07430,0.23659,1.3579,1.7060,0.9440
47,val,0.26791,0.26263,0.17606,2.7855,3.2075,0.7166
48,train,0.13161,0.12512,0.21614,1.5829,2.2139,0.9136
48,val,0.25440,0.24880,0.18672,2.8206,3.1219,0.7315
49,train,0.07842,0.07199,0.21455,1.2703,1.6793,0.9461
49,val,0.26905,0.26338,0.18894,2.8661,3.2120,0.7158
50,train,0.06461,0.05935,0.17530,1.1689,1.5248,0.9545
50,val,0.27121,0.26579,0.18056,2.6797,3.2267,0.7132
51,train,0.10590,0.10047,0.18101,1.3984,1.9839,0.9329
51,val,0.26404,0.25872,0.17716,2.7172,3.1835,0.7208
52,train,0.07875,0.07170,0.23494,1.3267,1.6759,0.9344
52,val,0.27141,0.26579,0.18737,2.8367,3.2267,0.7132
53,train,0.07750,0.07358,0.13080,1.2856,1.6977,0.9396
53,val,0.30401,0.29810,0.19697,3.1382,3.4172,0.6784
54,train,0.11044,0.10478,0.18894,1.6364,2.0259,0.9166
54,val,0.29601,0.29020,0.19349,3.0381,3.3716,0.6869
55,train,0.06326,0.05759,0.18911,1.1670,1.5020,0.9599
55,val,0.31568,0.30961,0.20223,3.2269,3.4826,0.6659
56,train,0.06519,0.06091,0.14275,1.2235,1.5447,0.9620
56,val,0.33803,0.33174,0.20957,3.2734,3.6048,0.6421
57,train,0.06549,0.06196,0.11756,1.1913,1.5579,0.9530
57,val,0.35063,0.34382,0.22723,3.2258,3.6699,0.6290
58,train,0.06144,0.05709,0.14492,1.1189,1.4955,0.9595
58,val,0.32190,0.31475,0.23832,3.1400,3.5114,0.6604
59,train,0.07180,0.06813,0.12238,1.1813,1.6336,0.9472
59,val,0.30552,0.29846,0.23522,2.9967,3.4193,0.6780
60,train,0.06639,0.06202,0.14575,1.1624,1.5586,0.9529
60,val,0.29458,0.28806,0.21750,3.0135,3.3592,0.6892
61,train,0.03729,0.03223,0.16845,0.9077,1.1237,0.9775
61,val,0.33582,0.32955,0.20910,3.1620,3.5929,0.6444
62,train,0.07075,0.06589,0.16197,1.2135,1.6065,0.9571
62,val,0.29693,0.29073,0.20693,3.0456,3.3747,0.6863
63,train,0.06853,0.06354,0.16629,1.2205,1.5777,0.9496
63,val,0.31254,0.30653,0.20048,2.9505,3.4652,0.6693
64,train,0.05733,0.05282,0.15028,1.0843,1.4384,0.9655
64,val,0.29666,0.29088,0.19258,2.9021,3.3756,0.6861
65,train,0.06747,0.06492,0.08510,1.2131,1.5946,0.9522
65,val,0.29110,0.28568,0.18059,2.8302,3.3453,0.6918
66,train,0.04146,0.03821,0.10840,0.8968,1.2234,0.9749
66,val,0.27165,0.26610,0.18515,2.8551,3.2286,0.7129
67,train,0.06089,0.05679,0.13681,1.1699,1.4915,0.9566
67,val,0.28189,0.27586,0.20088,2.9646,3.2873,0.7023
68,train,0.06093,0.05738,0.11849,1.1415,1.4992,0.9565
68,val,0.27501,0.26896,0.20171,2.8648,3.2459,0.7098
69,train,0.06015,0.05590,0.14162,1.1045,1.4798,0.9578
69,val,0.28940,0.28341,0.19956,2.8557,3.3319,0.6942
70,train,0.04277,0.03836,0.14688,0.8756,1.2258,0.9737
70,val,0.31355,0.30769,0.19516,3.0888,3.4717,0.6680
71,train,0.04141,0.03622,0.17313,0.9270,1.1911,0.9735
71,val,0.32475,0.31865,0.20351,3.0686,3.5330,0.6562
72,train,0.05487,0.05021,0.15515,1.1896,1.4025,0.9631
72,val,0.29689,0.29030,0.21959,2.9335,3.3722,0.6868
73,train,0.04224,0.03852,0.12418,0.8954,1.2283,0.9717
73,val,0.30067,0.29374,0.23086,2.8209,3.3921,0.6831
74,train,0.03925,0.03664,0.08705,0.9326,1.1980,0.9782
74,val,0.29250,0.28545,0.23499,2.8010,3.3439,0.6920
