epoch,phase,total,main,shunt,mae,rmse,r2
1,train,2.76310,2.76176,0.04486,8.4385,10.4012,-1.0058
1,val,1.46128,1.46124,0.00135,6.2604,7.5657,-0.5767
2,train,1.31928,1.31812,0.03879,5.9147,7.1856,0.0487
2,val,1.04053,1.04050,0.00095,5.2083,6.3843,-0.1227
3,train,1.10514,1.10402,0.03746,5.1630,6.5762,0.1714
3,val,0.73927,0.73926,0.00049,4.2892,5.3813,0.2023
4,train,0.85154,0.85087,0.02221,4.7739,5.7733,0.2820
4,val,0.67787,0.67786,0.00033,4.1326,5.1530,0.2686
5,train,0.56814,0.56773,0.01376,3.8529,4.7158,0.5868
5,val,0.55972,0.55971,0.00026,3.6312,4.6824,0.3961
6,train,0.58309,0.58296,0.00449,3.8114,4.7787,0.5663
6,val,0.79779,0.79779,0.00006,4.2006,5.5903,0.1392
7,train,0.83988,0.83972,0.00530,4.6423,5.7353,0.4555
7,val,0.58729,0.58728,0.00011,3.8762,4.7964,0.3663
8,train,0.81666,0.81626,0.01318,4.6835,5.6546,0.4744
8,val,0.49476,0.49476,0.00015,3.5416,4.4024,0.4662
9,train,0.47737,0.47721,0.00515,3.5457,4.3236,0.6352
9,val,0.83302,0.83301,0.00026,4.5758,5.7124,0.1012
10,train,0.60681,0.60624,0.01872,3.9659,4.8732,0.5628
10,val,0.47285,0.47283,0.00054,3.7189,4.3037,0.4898
11,train,0.49341,0.49331,0.00334,2.9855,4.3959,0.6934
11,val,0.51084,0.51084,0.00006,3.6757,4.4733,0.4488
12,train,0.34056,0.34054,0.00062,2.7604,3.6524,0.7026
12,val,0.55120,0.55120,0.00003,3.8140,4.6467,0.4053
13,train,0.39314,0.39269,0.01496,2.6816,3.9221,0.6816
13,val,0.50365,0.50365,0.00012,3.7532,4.4417,0.4566
14,train,0.36725,0.36671,0.01801,2.9246,3.7901,0.7295
14,val,0.41669,0.41668,0.00022,3.4280,4.0401,0.5504
15,train,0.30127,0.30125,0.00058,2.5872,3.4352,0.7588
15,val,0.38796,0.38795,0.00031,3.4060,3.8983,0.5814
16,train,0.31065,0.31004,0.02054,2.6956,3.4849,0.7927
16,val,0.39516,0.39515,0.00027,3.4190,3.9343,0.5736
17,train,0.20388,0.20352,0.01225,2.1274,2.8235,0.8479
17,val,0.42581,0.42581,0.00023,3.3471,4.0841,0.5406
18,train,0.20085,0.20003,0.02744,2.1764,2.7992,0.8613
18,val,0.41623,0.41622,0.00040,3.6699,4.0378,0.5509
19,train,0.37430,0.37358,0.02393,2.7619,3.8254,0.6420
19,val,0.42045,0.42044,0.00034,3.3643,4.0583,0.5463
20,train,0.23691,0.23587,0.03461,2.4127,3.0397,0.8316
20,val,0.40510,0.40507,0.00097,3.3474,3.9834,0.5629
21,train,0.22713,0.22695,0.00590,2.1862,2.9816,0.8434
21,val,0.64331,0.64327,0.00136,3.8508,5.0198,0.3059
22,train,0.45114,0.44960,0.05119,3.3147,4.1966,0.6733
22,val,0.40393,0.40379,0.00457,3.2443,3.9771,0.5643
23,train,0.24966,0.24739,0.07553,2.4509,3.1130,0.8422
23,val,0.44879,0.44865,0.00460,3.7414,4.1922,0.5159
24,train,0.22005,0.21848,0.05230,2.1378,2.9255,0.8204
24,val,0.45295,0.45284,0.00358,3.6690,4.2118,0.5114
25,train,0.15513,0.15409,0.03453,1.8321,2.4568,0.8710
25,val,0.46154,0.46146,0.00270,3.6748,4.2516,0.5021
26,train,0.20927,0.20862,0.02166,2.2244,2.8587,0.8404
26,val,0.45720,0.45708,0.00408,3.6375,4.2314,0.5068
27,train,0.12683,0.12509,0.05791,1.7827,2.2136,0.9137
27,val,0.57350,0.57333,0.00567,4.2614,4.7390,0.3814
28,train,0.10565,0.10471,0.03110,1.6324,2.0253,0.9345
28,val,0.52759,0.52749,0.00308,4.0031,4.5457,0.4308
29,train,0.12034,0.11887,0.04920,1.7722,2.1578,0.9196
29,val,0.48789,0.48781,0.00279,4.0747,4.3713,0.4737
30,train,0.16345,0.16224,0.04043,1.9902,2.5209,0.9000
30,val,0.34180,0.34178,0.00079,3.2783,3.6590,0.6312
31,train,0.16592,0.16523,0.02300,1.9512,2.5441,0.8838
31,val,0.28822,0.28820,0.00043,2.7610,3.3600,0.6890
32,train,0.10120,0.10097,0.00758,1.5628,1.9888,0.9220
32,val,0.32800,0.32798,0.00046,3.0117,3.5844,0.6461
33,train,0.14162,0.14143,0.00644,1.9490,2.3537,0.8783
33,val,0.35742,0.35740,0.00072,3.2708,3.7417,0.6144
34,train,0.10709,0.10683,0.00846,1.6255,2.0457,0.9282
34,val,0.35744,0.35741,0.00094,3.2094,3.7417,0.6144
35,train,0.12572,0.12472,0.03346,1.6314,2.2103,0.9240
35,val,0.32405,0.32402,0.00111,2.8827,3.5627,0.6504
36,train,0.14146,0.14009,0.04561,1.9108,2.3426,0.9076
36,val,0.41376,0.41371,0.00175,3.3572,4.0256,0.5536
37,train,0.12679,0.12612,0.02246,1.6491,2.2227,0.8902
37,val,0.40350,0.40347,0.00128,3.5291,3.9755,0.5647
38,train,0.14547,0.14510,0.01225,1.6660,2.3841,0.8772
38,val,0.38840,0.38835,0.00144,3.2915,3.9003,0.5810
39,train,0.09112,0.09022,0.02981,1.4685,1.8800,0.9276
39,val,0.51503,0.51496,0.00205,3.7656,4.4914,0.4444
40,train,0.05375,0.05269,0.03521,1.1183,1.4367,0.9641
40,val,0.35815,0.35811,0.00128,3.0464,3.7454,0.6136
41,train,0.12545,0.12498,0.01549,1.6299,2.2126,0.8954
41,val,0.33594,0.33591,0.00095,3.0523,3.6274,0.6376
42,train,0.11879,0.11831,0.01617,1.6538,2.1528,0.9089
42,val,0.47954,0.47951,0.00112,3.7111,4.3340,0.4826
43,train,0.08926,0.08794,0.04398,1.3456,1.8560,0.9402
43,val,0.38409,0.38405,0.00134,3.3770,3.8787,0.5856
44,train,0.11830,0.11783,0.01579,1.5185,2.1484,0.9175
44,val,0.45862,0.45857,0.00148,3.8367,4.2383,0.5052
45,train,0.07012,0.06924,0.02935,1.3705,1.6469,0.9565
45,val,0.38595,0.38590,0.00168,3.5950,3.8880,0.5836
46,train,0.06703,0.06639,0.02138,1.1231,1.6126,0.9479
46,val,0.38624,0.38621,0.00123,3.4824,3.8896,0.5833
47,train,0.07144,0.07048,0.03207,1.3146,1.6616,0.9425
47,val,0.36528,0.36525,0.00095,3.3572,3.7825,0.6059
48,train,0.10241,0.10167,0.02448,1.3762,1.9957,0.9174
48,val,0.33244,0.33242,0.00073,3.1507,3.6085,0.6413
49,train,0.08706,0.08699,0.00234,1.3244,1.8459,0.9308
49,val,0.33268,0.33266,0.00066,3.2724,3.6099,0.6411
50,train,0.07160,0.07044,0.03876,1.1870,1.6611,0.9430
50,val,0.28815,0.28813,0.00067,2.9627,3.3596,0.6891
51,train,0.06910,0.06868,0.01382,1.2012,1.6403,0.9490
51,val,0.31112,0.31110,0.00063,2.9528,3.4909,0.6643
