epoch,phase,total,main,shunt,mae,rmse,r2
1,train,4.20408,4.20367,0.08134,10.7612,12.8323,-2.0454
1,val,1.76624,1.76622,0.00298,6.9458,8.3179,-0.9057
2,train,1.67982,1.67971,0.02211,6.5477,8.1116,-0.1775
2,val,1.02780,1.02778,0.00337,5.1855,6.3451,-0.1090
3,train,1.27740,1.27722,0.03685,5.9506,7.0733,0.0795
3,val,0.78858,0.78858,0.00179,4.4892,5.5579,0.1491
4,train,0.65120,0.65116,0.00851,4.1192,5.0505,0.3895
4,val,0.73533,0.73532,0.00071,4.3097,5.3670,0.2066
5,train,0.57854,0.57851,0.00618,4.0378,4.7604,0.6069
5,val,0.78682,0.78682,0.00022,4.4479,5.5517,0.1510
6,train,0.63710,0.63708,0.00354,3.7389,4.9956,0.5151
6,val,0.56840,0.56840,0.00005,3.6942,4.7186,0.3867
7,train,0.67295,0.67294,0.00246,4.1729,5.1343,0.5170
7,val,0.68906,0.68906,0.00001,4.0698,5.1954,0.2565
8,train,0.54683,0.54682,0.00143,3.5565,4.6282,0.5530
8,val,0.66911,0.66911,0.00001,3.9077,5.1196,0.2780
9,train,0.76628,0.76625,0.00584,4.1516,5.4786,0.4439
9,val,0.52484,0.52484,0.00023,3.4425,4.5342,0.4337
10,train,0.49427,0.49420,0.01380,3.6785,4.3999,0.6882
10,val,0.49236,0.49236,0.00022,3.4823,4.3917,0.4687
11,train,0.37256,0.37247,0.01691,2.8568,3.8198,0.7426
11,val,0.48762,0.48762,0.00014,3.5342,4.3705,0.4739
12,train,0.37163,0.37163,0.00011,2.7998,3.8154,0.7103
12,val,0.46040,0.46040,0.00031,3.3396,4.2468,0.5032
13,train,0.32787,0.32783,0.00739,2.8016,3.5835,0.7415
13,val,0.37232,0.37230,0.00259,3.3600,3.8189,0.5983
14,train,0.24608,0.24602,0.01235,2.3593,3.1044,0.8377
14,val,0.51536,0.51536,0.00059,3.1773,4.4931,0.4439
15,train,0.32422,0.32413,0.01697,2.6887,3.5633,0.7589
15,val,0.49441,0.49441,0.00043,3.4451,4.4008,0.4665
16,train,0.23700,0.23698,0.00351,2.4330,3.0468,0.8360
16,val,0.62247,0.62247,0.00008,3.6376,4.9380,0.3284
17,train,0.27714,0.27702,0.02286,2.5116,3.2942,0.7822
17,val,0.44233,0.44232,0.00209,3.6422,4.1625,0.5227
18,train,0.19364,0.19353,0.02265,2.0579,2.7534,0.8692
18,val,0.49153,0.49153,0.00060,3.8006,4.3880,0.4696
19,train,0.18928,0.18917,0.02140,1.9105,2.7222,0.8687
19,val,0.62645,0.62645,0.00024,3.4022,4.9537,0.3241
20,train,0.17850,0.17830,0.04030,1.8960,2.6428,0.8723
20,val,0.50867,0.50866,0.00088,3.7029,4.4638,0.4512
21,train,0.12535,0.12502,0.06568,1.6438,2.2130,0.9134
21,val,0.50099,0.50099,0.00058,3.5169,4.4300,0.4594
22,train,0.09302,0.09290,0.02439,1.5595,1.9077,0.9345
22,val,0.52139,0.52139,0.00129,3.8703,4.5193,0.4374
23,train,0.27074,0.27051,0.04527,2.4446,3.2552,0.7680
23,val,0.46029,0.46028,0.00087,3.4934,4.2462,0.5034
24,train,0.13152,0.13118,0.06852,1.7304,2.2668,0.8969
24,val,0.47796,0.47796,0.00064,3.3145,4.3270,0.4843
25,train,0.12127,0.12099,0.05615,1.7123,2.1770,0.9209
25,val,0.50551,0.50550,0.00063,3.7097,4.4499,0.4546
26,train,0.16813,0.16796,0.03392,1.8478,2.5650,0.8677
26,val,0.67853,0.67853,0.00019,3.6738,5.1555,0.2679
27,train,0.11837,0.11815,0.04543,1.7074,2.1513,0.9219
27,val,0.50911,0.50911,0.00045,3.7150,4.4657,0.4507
28,train,0.12575,0.12568,0.01485,1.6621,2.2188,0.9228
28,val,0.59227,0.59227,0.00018,3.4953,4.8167,0.3609
29,train,0.17177,0.17141,0.07215,1.9602,2.5913,0.8817
29,val,0.47909,0.47909,0.00033,3.4436,4.3321,0.4831
30,train,0.13559,0.13538,0.04117,1.7534,2.3029,0.8957
30,val,0.52430,0.52430,0.00014,3.4850,4.5319,0.4343
31,train,0.13639,0.13618,0.04234,1.6873,2.3096,0.9023
31,val,0.63881,0.63881,0.00004,3.8226,5.0024,0.3107
32,train,0.09618,0.09617,0.00192,1.4238,1.9410,0.9202
32,val,0.44905,0.44905,0.00010,3.4797,4.1941,0.5155
33,train,0.09258,0.09229,0.05830,1.4602,1.9014,0.9252
33,val,0.47367,0.47367,0.00014,3.3206,4.3075,0.4889
34,train,0.12536,0.12509,0.05453,1.7614,2.2136,0.9034
34,val,0.40371,0.40371,0.00051,3.4908,3.9767,0.5644
35,train,0.10510,0.10472,0.07447,1.5134,2.0254,0.9256
35,val,0.47869,0.47869,0.00030,3.1964,4.3303,0.4835
36,train,0.10247,0.10183,0.12828,1.5616,1.9972,0.9343
36,val,0.49332,0.49332,0.00062,3.6947,4.3960,0.4677
37,train,0.09284,0.09264,0.04004,1.4260,1.9050,0.9409
37,val,0.49392,0.49391,0.00030,3.4869,4.3986,0.4671
38,train,0.09325,0.09278,0.09530,1.4646,1.9064,0.9313
38,val,0.53589,0.53589,0.00045,3.7981,4.5817,0.4218
39,train,0.08299,0.08281,0.03546,1.3263,1.8011,0.9381
39,val,0.54188,0.54188,0.00041,3.3971,4.6072,0.4153
40,train,0.07564,0.07530,0.06811,1.2543,1.7175,0.9502
40,val,0.49754,0.49754,0.00058,3.5791,4.4147,0.4632
41,train,0.06751,0.06727,0.04708,1.2927,1.6233,0.9443
41,val,0.54424,0.54424,0.00053,3.9335,4.6173,0.4128
42,train,0.04502,0.04475,0.05307,1.0367,1.3240,0.9729
42,val,0.49895,0.49895,0.00036,3.6346,4.4210,0.4616
43,train,0.07397,0.07387,0.02050,1.2740,1.7011,0.9521
43,val,0.49668,0.49667,0.00021,3.7481,4.4109,0.4641
44,train,0.05076,0.05066,0.01998,1.0531,1.4086,0.9670
44,val,0.47674,0.47674,0.00016,3.6382,4.3214,0.4856
45,train,0.05692,0.05670,0.04448,1.1657,1.4903,0.9670
45,val,0.53779,0.53779,0.00020,3.8211,4.5898,0.4197
46,train,0.08308,0.08259,0.09926,1.3340,1.7986,0.9448
46,val,0.59547,0.59547,0.00027,4.0283,4.8297,0.3575
47,train,0.04986,0.04968,0.03544,1.0982,1.3951,0.9594
47,val,0.59427,0.59427,0.00015,3.9774,4.8248,0.3588
48,train,0.07388,0.07348,0.07930,1.2839,1.6966,0.9543
48,val,0.58197,0.58197,0.00012,4.0435,4.7746,0.3721
49,train,0.07549,0.07533,0.03215,1.2784,1.7178,0.9538
49,val,0.57956,0.57956,0.00005,3.6769,4.7647,0.3747
50,train,0.07236,0.07222,0.02919,1.3136,1.6819,0.9468
50,val,0.53810,0.53810,0.00007,4.0893,4.5912,0.4194
51,train,0.11128,0.11109,0.03789,1.4610,2.0860,0.9115
51,val,0.54701,0.54701,0.00005,3.8087,4.6290,0.4098
52,train,0.09509,0.09487,0.04416,1.5087,1.9277,0.9363
52,val,0.58246,0.58246,0.00005,4.0222,4.7766,0.3715
53,train,0.06061,0.06047,0.02932,1.0741,1.5390,0.9462
53,val,0.51970,0.51970,0.00007,3.7973,4.5120,0.4392
54,train,0.05229,0.05223,0.01270,1.0766,1.4303,0.9549
54,val,0.48527,0.48527,0.00005,3.5500,4.3600,0.4764
