name,status,category,changed_component,n_folds,n_samples,val_mae_mean,val_mae_std,val_rmse_mean,val_r2_mean,delta_mae_vs_full,delta_rmse_vs_full,delta_r2_vs_full,module_effective_direction,hypothesis
full_model,done,reference,none,5,72,2.685336780548096,0.7462467300198286,3.6048425674438476,0.6431779926020325,,,,reference,"8-vessel model with organ global features, one PVP head, training dropout regularization, and L2 plus light core shunt loss."
no_organ_global_features,done,module,organ global features,5,72,3.103898048400879,0.6249885494761751,4.092999458312988,0.5484036051897079,0.418561267852783,0.4881568908691407,-0.09477438741232458,reference_consistently_better,Tests liver/spleen volumes as global context.
no_global_flow_corrector,done,module,GlobalFlowCorrector,5,72,3.479410409927368,0.38715241061274763,4.53607931137085,0.4584310167282678,0.7940736293792723,0.9312367439270024,-0.18474697587376465,reference_consistently_better,Tests whether global features improve corrected Q states.
with_physics_residual,done,module,PhysicsResidualNet,5,72,2.808785629272461,0.4508551949467382,3.8371572971343992,0.6153246736535325,0.12344884872436523,0.23231472969055167,-0.02785331894849996,reference_consistently_better,Tests whether the extra internal physics residual correction branch still helps.
no_dropout_regularizer,done,module,AuxiliaryDropoutRegularizer,5,72,2.9416547298431395,0.5754502586607537,3.72062029838562,0.6340414235844035,0.2563179492950436,0.11577773094177246,-0.009136569017628937,reference_consistently_better,Tests the training-only stochastic regularizer.
no_flow_graph,done,module,FlowGraphRefiner,5,72,3.1713449001312255,0.13656440769046285,4.454551696777344,0.49034739958935436,0.4860081195831296,0.8497091293334962,-0.1528305930126781,reference_consistently_better,Tests whether CenterlinePoints-aware graph message passing helps.
fixed_physics_params,done,module,LearnablePhysicsLayer parameters,5,72,2.6959579229354858,0.7067809322526644,3.616300439834595,0.6439800919334977,0.01062114238738987,0.011457872390747248,0.0008020993314652447,mixed_or_noisy,Tests learnable physical calibration versus fixed constants.
all_profile_channels,done,geometry,optional profile channels,5,72,2.9296992301940916,0.3381085716248566,4.207564830780029,0.5416445859856737,0.24436244964599574,0.6027222633361817,-0.10153340661635879,reference_consistently_better,Tests whether optional geometry channels add signal or noise.
use_unreliable_raw_lengths,done,geometry,unreliable raw lengths,5,72,2.909780740737915,0.5487442283620421,3.976962852478027,0.5860371977656437,0.22444396018981916,0.3721202850341796,-0.057140794836388786,reference_consistently_better,Tests whether raw SMV/LPV/RPV lengths should stay excluded.
six_vessel_layout,done,layout,six-vessel layout,5,72,3.026316833496094,0.22381954582709065,3.9842584133148193,0.5922192979028793,0.34098005294799805,0.37941584587097177,-0.05095869469915315,reference_consistently_better,Tests merged collateral/TIPS layout.
three_vessel_layout,done,layout,three-vessel layout,5,72,3.131799268722534,0.2482305531780894,4.032441139221191,0.5802921456994221,0.4464624881744381,0.42759857177734384,-0.06288584690261034,reference_consistently_better,Tests compact collateral/MPV/SV layout.
loss_l2_only,done,loss,L2 only,5,72,2.699825954437256,0.7373005030724419,3.617554759979248,0.6413399877658529,0.014489173889160156,0.012712192535400568,-0.0018380048361795742,reference_consistently_better,Pure PVP regression supervision.
loss_l2_plus_core_split,done,loss,add core confluence shunt loss,5,72,2.685336780548096,0.7462467300198286,3.6048425674438476,0.6431779926020325,0.0,0.0,0.0,mixed_or_noisy,Tests the selected light MPV=SMV+SV core confluence constraint.
loss_l2_plus_full_split,done,loss,add full shunt loss,5,72,2.7030365228652955,0.7525078232184418,3.619067907333374,0.640502374764198,0.017699742317199618,0.014225339889526456,-0.002675617837834432,reference_consistently_better,Tests the broad split-flow residual at the same light weight.
