epoch,phase,total,main,shunt,mae,rmse,r2
1,train,4.03402,4.03377,0.04854,10.5710,12.5703,-2.1968
1,val,2.12741,2.12741,0.00001,7.3059,9.1288,-0.8056
2,train,2.22392,2.22371,0.04133,7.8353,9.3332,-0.7633
2,val,1.27560,1.27560,0.00001,5.9182,7.0688,-0.0826
3,train,1.17759,1.17737,0.04283,5.4674,6.7912,0.0068
3,val,1.02488,1.02488,0.00000,5.3961,6.3362,0.1302
4,train,1.05821,1.05812,0.01810,5.4209,6.4381,0.2012
4,val,0.81880,0.81880,0.00000,4.0755,5.6634,0.3051
5,train,0.97501,0.97497,0.00719,5.1125,6.1799,0.2293
5,val,0.63536,0.63536,0.00000,3.9885,4.9888,0.4607
6,train,0.73458,0.73445,0.02525,4.5638,5.3638,0.4533
6,val,0.67568,0.67568,0.00000,4.0336,5.1447,0.4265
7,train,0.66573,0.66570,0.00539,4.0458,5.1066,0.5114
7,val,0.63899,0.63899,0.00000,3.4789,5.0031,0.4577
8,train,0.65852,0.65852,0.00028,4.1631,5.0790,0.4715
8,val,0.54849,0.54849,0.00000,3.6768,4.6353,0.5345
9,train,0.43091,0.43091,0.00005,3.2835,4.1085,0.6269
9,val,0.60083,0.60083,0.00000,3.2413,4.8514,0.4901
10,train,0.38818,0.38816,0.00455,3.2040,3.8994,0.7511
10,val,0.52822,0.52822,0.00000,3.7948,4.5488,0.5517
11,train,0.43143,0.43140,0.00574,3.1224,4.1108,0.7329
11,val,0.53880,0.53880,0.00000,3.0776,4.5941,0.5427
12,train,0.45371,0.45371,0.00027,3.3923,4.2158,0.6275
12,val,0.73154,0.73154,0.00000,3.8394,5.3531,0.3791
13,train,0.41075,0.41070,0.00991,3.3642,4.0110,0.6608
13,val,0.55287,0.55287,0.00000,4.0764,4.6537,0.5308
14,train,0.38669,0.38655,0.02746,3.2337,3.8913,0.6794
14,val,0.63831,0.63831,0.00001,3.9561,5.0004,0.4582
15,train,0.33820,0.33814,0.01226,2.7857,3.6395,0.7568
15,val,0.53830,0.53830,0.00002,3.4706,4.5920,0.5431
16,train,0.27412,0.27369,0.08512,2.5437,3.2743,0.8132
16,val,0.67693,0.67693,0.00001,3.4879,5.1495,0.4255
17,train,0.23264,0.23257,0.01367,2.2862,3.0183,0.8258
17,val,0.51193,0.51193,0.00002,3.6009,4.4781,0.5655
18,train,0.22978,0.22955,0.04693,2.2951,2.9987,0.8015
18,val,0.49620,0.49620,0.00003,3.4245,4.4088,0.5789
19,train,0.26050,0.26024,0.05249,2.4705,3.1928,0.7766
19,val,0.49411,0.49411,0.00004,3.5267,4.3995,0.5806
20,train,0.17689,0.17664,0.05035,1.9646,2.6305,0.8600
20,val,0.53187,0.53187,0.00002,3.4340,4.5645,0.5486
21,train,0.21856,0.21825,0.06128,2.2895,2.9240,0.8453
21,val,0.49710,0.49710,0.00042,3.4961,4.4128,0.5781
22,train,0.16857,0.16834,0.04537,1.8450,2.5679,0.8804
22,val,0.47295,0.47294,0.00025,3.3837,4.3042,0.5986
23,train,0.18894,0.18884,0.02019,1.9077,2.7198,0.8526
23,val,0.47126,0.47126,0.00009,3.3834,4.2965,0.6000
24,train,0.12592,0.12573,0.03705,1.7771,2.2193,0.9042
24,val,0.53098,0.53098,0.00003,3.4033,4.5606,0.5493
25,train,0.19782,0.19772,0.01942,2.1632,2.7830,0.8598
25,val,0.51666,0.51666,0.00028,3.6481,4.4987,0.5615
26,train,0.19925,0.19871,0.10886,2.3034,2.7900,0.8394
26,val,0.55916,0.55915,0.00138,3.8811,4.6801,0.5254
27,train,0.17346,0.17312,0.06685,2.0056,2.6041,0.8575
27,val,0.63957,0.63956,0.00117,3.9666,5.0053,0.4572
28,train,0.14022,0.14002,0.03974,1.7599,2.3420,0.8734
28,val,0.65809,0.65808,0.00198,4.4824,5.0772,0.4415
29,train,0.16281,0.16232,0.09718,1.9368,2.5216,0.8825
29,val,0.71438,0.71438,0.00010,4.0990,5.2900,0.3937
30,train,0.19115,0.19069,0.09294,1.9415,2.7331,0.8420
30,val,0.57985,0.57985,0.00011,4.0056,4.7659,0.5079
31,train,0.20305,0.20258,0.09261,2.1805,2.8170,0.8307
31,val,0.65120,0.65120,0.00012,4.3437,5.0506,0.4473
32,train,0.14106,0.14084,0.04370,1.7471,2.3488,0.8957
32,val,0.62461,0.62461,0.00010,4.1453,4.9465,0.4699
33,train,0.16144,0.16111,0.06484,2.0331,2.5122,0.8831
33,val,0.72451,0.72451,0.00013,4.4424,5.3274,0.3851
34,train,0.13204,0.13190,0.02793,1.7185,2.2730,0.8951
34,val,0.92834,0.92834,0.00012,4.9797,6.0303,0.2121
35,train,0.15301,0.15268,0.06516,1.8660,2.4456,0.8608
35,val,0.92958,0.92958,0.00029,5.1615,6.0344,0.2110
36,train,0.13749,0.13720,0.05883,1.9073,2.3183,0.8595
36,val,0.73138,0.73137,0.00038,4.1753,5.3525,0.3793
37,train,0.08649,0.08610,0.07709,1.4389,1.8365,0.9323
37,val,0.68748,0.68748,0.00041,4.1010,5.1894,0.4165
38,train,0.08064,0.08015,0.09795,1.4305,1.7720,0.9362
