epoch,phase,total,main,shunt,mae,rmse,r2
1,train,2.84046,2.84041,0.01085,8.5204,10.5482,-1.1940
1,val,1.39406,1.39366,0.08192,6.0181,7.3887,-0.5037
2,train,1.54692,1.54687,0.01047,6.4661,7.7842,-0.1256
2,val,0.88454,0.88417,0.07326,4.7835,5.8851,0.0460
3,train,1.05956,1.05940,0.03140,5.7354,6.4420,0.1492
3,val,0.74605,0.74572,0.06649,4.3318,5.4048,0.1954
4,train,0.91290,0.91290,0.00000,4.9187,5.9800,0.3538
4,val,0.57783,0.57749,0.06814,3.5998,4.7562,0.3769
5,train,0.59210,0.59203,0.01274,3.7879,4.8157,0.5452
5,val,0.53317,0.53283,0.06824,3.6669,4.5686,0.4251
6,train,0.71618,0.71604,0.02817,4.0684,5.2961,0.4292
6,val,0.58092,0.58055,0.07397,3.7260,4.7688,0.3736
7,train,0.81758,0.81741,0.03513,4.5674,5.6586,0.4630
7,val,0.56416,0.56379,0.07416,3.8856,4.6995,0.3917
8,train,0.48736,0.48725,0.02255,3.1680,4.3688,0.6459
8,val,0.53601,0.53561,0.07816,3.6647,4.5805,0.4221
9,train,0.60507,0.60496,0.02174,3.7588,4.8680,0.5371
9,val,0.51375,0.51340,0.07020,3.7077,4.4845,0.4460
10,train,0.67971,0.67964,0.01387,4.1081,5.1597,0.5396
10,val,0.45116,0.45079,0.07387,3.6543,4.2022,0.5136
11,train,0.30723,0.30717,0.01295,2.5848,3.4688,0.7681
11,val,0.36446,0.36406,0.08084,3.3449,3.7764,0.6072
12,train,0.37329,0.37317,0.02374,3.0559,3.8234,0.6839
12,val,0.48510,0.48464,0.09295,3.4406,4.3571,0.4771
13,train,0.28279,0.28275,0.00881,2.6320,3.3280,0.8127
13,val,0.35166,0.35113,0.10619,3.1797,3.7087,0.6211
14,train,0.35446,0.35439,0.01448,2.9359,3.7259,0.7173
14,val,0.29058,0.29005,0.10488,2.9147,3.3708,0.6870
15,train,0.26102,0.26091,0.02239,2.3699,3.1969,0.8062
15,val,0.35133,0.35082,0.10291,2.8966,3.7071,0.6215
16,train,0.25037,0.25033,0.00849,2.4273,3.1314,0.8096
16,val,0.32900,0.32847,0.10699,2.9406,3.5870,0.6456
17,train,0.14150,0.14138,0.02573,1.8229,2.3533,0.8959
17,val,0.34361,0.34305,0.11237,3.2317,3.6658,0.6298
18,train,0.24321,0.24313,0.01665,2.4666,3.0861,0.8395
18,val,0.36645,0.36585,0.12081,2.9811,3.7857,0.6053
19,train,0.22914,0.22910,0.00857,2.2564,2.9957,0.8252
19,val,0.28315,0.28252,0.12557,3.0403,3.3267,0.6952
20,train,0.29565,0.29565,0.00000,2.4974,3.4031,0.7720
20,val,0.26451,0.26389,0.12584,2.8874,3.2151,0.7153
21,train,0.12105,0.12101,0.00929,1.7057,2.1772,0.9061
21,val,0.44104,0.44046,0.11616,3.1821,4.1538,0.5247
22,train,0.21766,0.21749,0.03462,2.2478,2.9188,0.8552
22,val,0.53171,0.53112,0.11843,3.4821,4.5613,0.4269
23,train,0.25556,0.25556,0.00000,2.3212,3.1640,0.8135
23,val,0.35668,0.35601,0.13221,3.3043,3.7344,0.6159
24,train,0.18061,0.18053,0.01667,2.0850,2.6592,0.8619
24,val,0.27711,0.27644,0.13468,2.8630,3.2907,0.7017
25,train,0.15856,0.15845,0.02303,1.9326,2.4913,0.8923
25,val,0.38241,0.38177,0.12805,2.9502,3.8671,0.5881
26,train,0.13667,0.13662,0.01069,1.8703,2.3134,0.8973
26,val,0.23747,0.23681,0.13122,2.6379,3.0457,0.7445
27,train,0.18070,0.18070,0.00000,1.9679,2.6605,0.8710
27,val,0.25039,0.24969,0.13940,2.7948,3.1275,0.7306
28,train,0.11160,0.11158,0.00339,1.6412,2.0907,0.9177
28,val,0.24872,0.24803,0.13770,2.8695,3.1170,0.7324
29,train,0.10770,0.10770,0.00000,1.5572,2.0540,0.9315
29,val,0.31478,0.31412,0.13211,2.8339,3.5078,0.6611
30,train,0.07780,0.07773,0.01240,1.3177,1.7450,0.9363
30,val,0.28987,0.28922,0.13098,2.9811,3.3659,0.6879
31,train,0.17008,0.17005,0.00590,1.9102,2.5809,0.8453
31,val,0.38695,0.38627,0.13551,2.9596,3.8899,0.5832
32,train,0.14243,0.14235,0.01551,1.8626,2.3614,0.8918
32,val,0.27629,0.27558,0.14227,3.0424,3.2856,0.7027
33,train,0.13052,0.13048,0.00892,1.7706,2.2608,0.9194
33,val,0.35928,0.35854,0.14867,3.3638,3.7476,0.6131
34,train,0.14212,0.14212,0.00000,1.8729,2.3595,0.8817
34,val,0.32278,0.32203,0.14942,3.2080,3.5517,0.6525
35,train,0.08665,0.08658,0.01381,1.5408,1.8416,0.9419
35,val,0.26054,0.25987,0.13461,2.8327,3.1905,0.7196
36,train,0.11444,0.11444,0.00000,1.7349,2.1173,0.9232
36,val,0.53710,0.53647,0.12496,3.2718,4.5842,0.4212
37,train,0.10702,0.10695,0.01413,1.5647,2.0468,0.9280
37,val,0.30109,0.30047,0.12343,2.8550,3.4308,0.6758
38,train,0.12504,0.12504,0.00000,1.7680,2.2132,0.9005
38,val,0.46957,0.46892,0.12956,3.4460,4.2859,0.4940
39,train,0.18060,0.18060,0.00000,1.9723,2.6598,0.8617
39,val,0.31679,0.31610,0.13881,3.1906,3.5188,0.6589
40,train,0.10003,0.10002,0.00093,1.5386,1.9794,0.9051
40,val,0.34482,0.34410,0.14389,3.2639,3.6714,0.6287
41,train,0.08817,0.08817,0.00000,1.2847,1.8585,0.9344
41,val,0.60148,0.60076,0.14565,3.8875,4.8511,0.3518
42,train,0.11160,0.11153,0.01419,1.6286,2.0902,0.9145
42,val,0.28551,0.28483,0.13560,3.0829,3.3403,0.6927
43,train,0.08059,0.08059,0.00000,1.2726,1.7767,0.9439
43,val,0.49216,0.49152,0.12807,3.2860,4.3879,0.4697
44,train,0.08871,0.08864,0.01444,1.3498,1.8634,0.9461
44,val,0.26422,0.26363,0.11790,2.7278,3.2135,0.7155
45,train,0.08607,0.08600,0.01400,1.5080,1.8354,0.9434
45,val,0.41152,0.41091,0.12082,3.2273,4.0120,0.5566
46,train,0.08409,0.08402,0.01356,1.4400,1.8142,0.9359
46,val,0.30344,0.30279,0.13037,2.9961,3.4440,0.6733
47,train,0.06480,0.06480,0.00000,1.2153,1.5933,0.9555
47,val,0.62297,0.62225,0.14578,3.8354,4.9371,0.3286
48,train,0.08183,0.08183,0.00014,1.4464,1.7903,0.9361
48,val,0.35991,0.35925,0.13311,3.2293,3.7513,0.6124
49,train,0.10905,0.10905,0.00022,1.4130,2.0668,0.9226
49,val,0.27819,0.27753,0.13061,2.9470,3.2972,0.7005
50,train,0.05765,0.05765,0.00000,1.1323,1.5028,0.9624
50,val,0.44685,0.44617,0.13728,3.3018,4.1806,0.5186
51,train,0.05420,0.05420,0.00000,1.1593,1.4570,0.9660
51,val,0.48064,0.47999,0.13121,3.5721,4.3362,0.4821
52,train,0.05347,0.05347,0.00000,1.1127,1.4473,0.9630
52,val,0.54748,0.54684,0.12762,3.5675,4.6283,0.4100
53,train,0.05652,0.05647,0.01020,1.2371,1.4873,0.9664
53,val,0.47040,0.46973,0.13453,3.4800,4.2896,0.4932
54,train,0.05002,0.04995,0.01496,1.0504,1.3988,0.9669
54,val,0.48777,0.48704,0.14498,3.4742,4.3679,0.4745
55,train,0.10065,0.10065,0.00000,1.4965,1.9856,0.9331
55,val,0.29907,0.29834,0.14559,2.8943,3.4186,0.6781
56,train,0.05418,0.05403,0.03093,1.1021,1.4548,0.9640
56,val,0.25500,0.25429,0.14301,2.6546,3.1561,0.7256
57,train,0.06612,0.06604,0.01577,1.1470,1.6084,0.9549
57,val,0.38883,0.38807,0.15195,3.0934,3.8989,0.5813
58,train,0.06346,0.06340,0.01250,1.1994,1.5759,0.9457
58,val,0.35123,0.35048,0.15027,3.0546,3.7053,0.6218
59,train,0.06050,0.06049,0.00045,1.1482,1.5394,0.9575
59,val,0.34974,0.34897,0.15432,3.1811,3.6973,0.6235
60,train,0.03166,0.03165,0.00079,0.8299,1.1135,0.9762
60,val,0.44390,0.44312,0.15616,3.3987,4.1663,0.5219
61,train,0.06834,0.06834,0.00047,1.1730,1.6361,0.9361
61,val,0.33488,0.33405,0.16704,3.1496,3.6174,0.6396
62,train,0.03138,0.03132,0.01268,0.8008,1.1076,0.9772
62,val,0.32333,0.32248,0.17070,2.9123,3.5542,0.6520
63,train,0.06132,0.06132,0.00000,1.1567,1.5498,0.9603
63,val,0.25585,0.25499,0.17110,2.8477,3.1605,0.7249
64,train,0.07925,0.07917,0.01592,1.4495,1.7610,0.9327
64,val,0.23267,0.23183,0.16797,2.6741,3.0135,0.7499
65,train,0.06350,0.06341,0.01644,1.2120,1.5761,0.9566
65,val,0.25999,0.25915,0.16737,2.6319,3.1862,0.7204
66,train,0.07202,0.07202,0.00029,1.2181,1.6797,0.9510
66,val,0.18634,0.18553,0.16116,2.4925,2.6959,0.7998
67,train,0.07412,0.07412,0.00000,1.2765,1.7039,0.9361
67,val,0.21162,0.21082,0.15974,2.3125,2.8737,0.7725
68,train,0.05671,0.05664,0.01403,1.1360,1.4895,0.9575
68,val,0.17684,0.17602,0.16424,2.4418,2.6259,0.8101
69,train,0.03532,0.03524,0.01617,0.9116,1.1749,0.9712
69,val,0.26598,0.26512,0.17246,2.7304,3.2226,0.7139
70,train,0.03909,0.03909,0.00027,0.9204,1.2374,0.9713
70,val,0.21496,0.21410,0.17305,2.6913,2.8960,0.7690
71,train,0.02577,0.02577,0.00000,0.7671,1.0048,0.9806
71,val,0.25163,0.25077,0.17215,2.7109,3.1342,0.7294
72,train,0.03403,0.03403,0.00000,0.8605,1.1546,0.9734
72,val,0.24464,0.24379,0.16890,2.6667,3.0903,0.7369
73,train,0.02682,0.02682,0.00000,0.8261,1.0251,0.9799
73,val,0.19616,0.19533,0.16572,2.5714,2.7661,0.7892
74,train,0.03720,0.03720,0.00000,0.9116,1.2071,0.9737
74,val,0.33886,0.33802,0.16807,2.8273,3.6388,0.6353
75,train,0.04360,0.04354,0.01051,0.8892,1.3060,0.9622
75,val,0.24086,0.24001,0.16958,2.8668,3.0662,0.7410
76,train,0.05860,0.05860,0.00000,1.1734,1.5150,0.9562
76,val,0.30509,0.30424,0.16909,3.0063,3.4522,0.6717
77,train,0.05634,0.05618,0.03192,1.1784,1.4835,0.9598
77,val,0.24545,0.24461,0.16736,2.9158,3.0955,0.7361
78,train,0.03364,0.03356,0.01595,0.8984,1.1466,0.9754
78,val,0.25111,0.25028,0.16595,2.8405,3.1312,0.7299
79,train,0.04931,0.04931,0.00000,0.9668,1.3897,0.9670
79,val,0.28747,0.28665,0.16482,2.8384,3.3509,0.6907
80,train,0.03663,0.03663,0.00000,0.9482,1.1979,0.9771
80,val,0.21927,0.21846,0.16208,2.6529,2.9253,0.7643
81,train,0.03859,0.03859,0.00028,0.9800,1.2295,0.9669
81,val,0.26878,0.26795,0.16626,2.7621,3.2398,0.7109
