epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.90094,3.90083,0.02333,9.6791,12.3614,-1.5102
1,val,2.41907,2.41880,0.05349,7.8952,9.7339,-1.5216
2,train,3.34680,3.34674,0.01164,9.7269,11.4499,-1.5827
2,val,1.59705,1.59684,0.04073,6.4260,7.9090,-0.6647
3,train,1.84899,1.84892,0.01364,6.8751,8.5104,-0.2969
3,val,1.11479,1.11469,0.02115,5.3885,6.6079,-0.1621
4,train,1.44769,1.44767,0.00435,6.2819,7.5305,-0.0679
4,val,0.89324,0.89321,0.00730,5.0328,5.9151,0.0688
5,train,1.42383,1.42383,0.00077,6.5213,7.4682,-0.0596
5,val,0.76096,0.76095,0.00172,4.6708,5.4597,0.2067
6,train,1.09167,1.09167,0.00009,5.7429,6.5394,0.1577
6,val,0.58172,0.58172,0.00067,3.9563,4.7736,0.3936
7,train,0.81801,0.81801,0.00001,4.7647,5.6607,0.4091
7,val,0.54786,0.54785,0.00035,3.5480,4.6326,0.4289
8,train,0.71148,0.71148,0.00000,4.2801,5.2792,0.5349
8,val,0.69086,0.69086,0.00017,4.1852,5.2022,0.2798
9,train,0.44969,0.44969,0.00000,3.3575,4.1971,0.7268
9,val,0.78827,0.78827,0.00075,4.4619,5.5568,0.1782
10,train,0.78559,0.78559,0.00001,4.2918,5.5474,0.2273
10,val,0.78189,0.78184,0.00901,4.2187,5.5341,0.1849
11,train,0.36831,0.36831,0.00042,3.1920,3.7983,0.7160
11,val,0.48160,0.48150,0.02090,3.7235,4.3430,0.4980
12,train,0.35363,0.35363,0.00046,3.1284,3.7219,0.6864
12,val,0.52121,0.52111,0.02108,3.7109,4.5181,0.4567
13,train,0.41054,0.41054,0.00038,3.1274,4.0102,0.7270
13,val,0.63022,0.63013,0.01784,4.1918,4.9683,0.3431
14,train,0.26553,0.26553,0.00046,2.3826,3.2251,0.8204
14,val,0.56600,0.56589,0.02097,3.8026,4.7082,0.4100
15,train,0.46774,0.46773,0.00153,3.0064,4.2804,0.6369
15,val,0.69173,0.69157,0.03167,4.0560,5.2048,0.2790
16,train,0.22465,0.22464,0.00095,2.2913,2.9664,0.8446
16,val,0.41214,0.41198,0.03254,3.5106,4.0172,0.5705
17,train,0.19291,0.19291,0.00112,2.1963,2.7489,0.8464
