epoch,phase,total,main,shunt,mae,rmse,r2
1,train,4.24128,4.24112,0.03134,10.3538,12.8893,-1.8351
1,val,2.38629,2.38628,0.00278,8.2483,9.6683,-1.5748
2,train,2.36302,2.36280,0.04401,8.0539,9.6206,-0.9098
2,val,1.51899,1.51897,0.00293,6.4100,7.7137,-0.6390
3,train,1.70929,1.70905,0.04715,6.8812,8.1821,-0.2057
3,val,0.97815,0.97813,0.00266,5.0273,6.1900,-0.0554
4,train,1.17334,1.17318,0.03069,5.8272,6.7791,0.1477
4,val,0.79310,0.79309,0.00194,4.4132,5.5738,0.1443
5,train,0.69042,0.69034,0.01673,4.3003,5.2002,0.3682
5,val,1.01547,1.01547,0.00132,5.2075,6.3070,-0.0957
6,train,0.72473,0.72465,0.01573,4.2958,5.3279,0.4672
6,val,0.57314,0.57314,0.00170,3.5188,4.7382,0.3816
7,train,0.64166,0.64151,0.03046,3.9179,5.0129,0.5817
7,val,0.70247,0.70246,0.00232,4.2439,5.2457,0.2420
8,train,0.58964,0.58943,0.04349,3.6629,4.8051,0.5216
8,val,0.57439,0.57437,0.00239,3.5432,4.7434,0.3803
9,train,0.39009,0.38985,0.04787,3.0262,3.9078,0.7394
9,val,0.53344,0.53341,0.00649,3.6499,4.5711,0.4245
10,train,0.34006,0.33985,0.04259,2.8681,3.6486,0.7599
10,val,0.49825,0.49819,0.01268,3.4789,4.4176,0.4625
11,train,0.49684,0.49670,0.02762,3.3384,4.4110,0.5861
11,val,0.47408,0.47394,0.02721,3.5007,4.3088,0.4886
12,train,0.38029,0.37998,0.06285,2.9768,3.8580,0.7141
12,val,0.47921,0.47899,0.04467,3.5247,4.3316,0.4832
13,train,0.24443,0.24442,0.00101,2.3438,3.0943,0.7919
13,val,0.54060,0.54038,0.04347,3.7096,4.6008,0.4169
14,train,0.27569,0.27559,0.01994,2.2270,3.2856,0.7919
14,val,0.44643,0.44623,0.04101,3.3449,4.1809,0.5185
15,train,0.17428,0.17413,0.03062,2.0602,2.6117,0.8706
15,val,0.43528,0.43510,0.03503,3.3928,4.1284,0.5305
16,train,0.27437,0.27423,0.02810,2.5322,3.2775,0.7848
