epoch,phase,total,main,shunt,mae,rmse,r2
1,train,2.65170,2.65167,0.00649,7.7992,10.1917,-1.2163
1,val,1.53371,1.53370,0.00230,6.4092,7.7510,-0.6548
2,train,1.53592,1.53555,0.07398,6.5639,7.7557,-0.0783
2,val,0.84663,0.84662,0.00133,4.7303,5.7588,0.0865
3,train,0.93379,0.93367,0.02545,5.4009,6.0476,0.2112
3,val,0.82710,0.82710,0.00051,4.6667,5.6920,0.1076
4,train,0.90111,0.90092,0.03807,4.8057,5.9406,0.1077
4,val,0.58230,0.58230,0.00024,3.5870,4.7760,0.3717
5,train,0.70797,0.70791,0.01140,4.3915,5.2660,0.4621
5,val,0.55704,0.55704,0.00008,3.5027,4.6712,0.3990
6,train,0.66847,0.66843,0.00731,4.0789,5.1170,0.5592
6,val,0.57839,0.57839,0.00014,3.6287,4.7599,0.3759
7,train,0.54941,0.54936,0.01046,3.6173,4.6389,0.5905
7,val,0.51087,0.51087,0.00022,3.4927,4.4734,0.4488
8,train,0.69583,0.69578,0.00904,4.0982,5.2207,0.4909
8,val,0.50688,0.50688,0.00025,3.5178,4.4559,0.4531
9,train,0.27885,0.27876,0.01760,2.4564,3.3045,0.8145
9,val,0.47214,0.47214,0.00092,3.3987,4.3005,0.4906
10,train,0.38385,0.38383,0.00293,3.0937,3.8776,0.7079
10,val,0.43025,0.43024,0.00157,3.2125,4.1053,0.5358
11,train,0.43499,0.43482,0.03367,3.1873,4.1271,0.7246
11,val,0.50284,0.50282,0.00282,3.5439,4.4381,0.4575
12,train,0.48133,0.48133,0.00139,3.5242,4.3422,0.6464
12,val,0.49453,0.49452,0.00262,3.5565,4.4013,0.4664
13,train,0.31513,0.31501,0.02363,2.6727,3.5128,0.7979
13,val,0.50535,0.50534,0.00293,3.6129,4.4492,0.4547
14,train,0.37102,0.37087,0.03117,2.9777,3.8115,0.7114
14,val,0.49507,0.49506,0.00300,3.7357,4.4037,0.4658
15,train,0.21536,0.21524,0.02445,2.2822,2.9037,0.8467
15,val,0.53356,0.53354,0.00447,4.0651,4.5716,0.4243
16,train,0.21834,0.21823,0.02203,2.2306,2.9238,0.8109
16,val,0.40587,0.40585,0.00465,3.3547,3.9872,0.5621
17,train,0.29708,0.29700,0.01650,2.6251,3.4109,0.7934
17,val,0.33080,0.33077,0.00530,3.0705,3.5996,0.6431
18,train,0.17072,0.17065,0.01379,1.9298,2.5855,0.8812
18,val,0.41476,0.41474,0.00353,3.3931,4.0307,0.5525
19,train,0.13336,0.13323,0.02621,1.9108,2.2845,0.9110
19,val,0.36761,0.36758,0.00466,3.1706,3.7946,0.6034
20,train,0.15193,0.15169,0.04671,1.7906,2.4377,0.8851
20,val,0.37137,0.37135,0.00392,2.6864,3.8140,0.5993
21,train,0.16706,0.16686,0.03913,2.0504,2.5566,0.8782
21,val,0.31519,0.31517,0.00485,3.1489,3.5137,0.6599
22,train,0.23832,0.23822,0.01836,2.2139,3.0548,0.7922
22,val,0.48231,0.48230,0.00245,3.0630,4.3466,0.4796
23,train,0.17677,0.17671,0.01242,2.1541,2.6310,0.8636
23,val,0.42382,0.42381,0.00200,3.0892,4.0745,0.5427
24,train,0.24061,0.24047,0.02682,2.1820,3.0692,0.8306
24,val,0.45613,0.45611,0.00238,3.6679,4.2269,0.5079
25,train,0.10963,0.10962,0.00297,1.5328,2.0722,0.9122
25,val,0.43247,0.43246,0.00148,3.1648,4.1159,0.5334
26,train,0.17426,0.17415,0.02046,2.0419,2.6119,0.8916
26,val,0.46279,0.46278,0.00117,3.3739,4.2577,0.5007
27,train,0.12493,0.12478,0.03134,1.6889,2.2108,0.8943
27,val,0.53633,0.53632,0.00108,3.8520,4.5836,0.4213
28,train,0.13273,0.13267,0.01140,1.6497,2.2797,0.9081
28,val,0.44588,0.44588,0.00044,3.4629,4.1792,0.5189
29,train,0.15375,0.15365,0.01921,2.0391,2.4533,0.9039
29,val,0.39458,0.39458,0.00086,3.3020,3.9315,0.5743
30,train,0.16291,0.16276,0.02989,1.9509,2.5250,0.8918
30,val,0.38970,0.38969,0.00071,2.9283,3.9071,0.5795
