feature_set,model,n_features,n,mae,rmse,r2,bias,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std,fold_r2_mean,fold_r2_std
geometry,mean,897,72,5.28465606352651,6.26675450663813,-0.0025531849439668353,-0.0010387576811491507,5.286758013238376,0.34413604563211375,6.260243342937577,0.3159617267555009,-0.006740431103378431,0.006243140935729595
geometry,median,897,72,5.28194178475274,6.27311205836227,-0.004588374542843887,0.23088788986206055,5.284326311747233,0.37198812728353886,6.2657689902824005,0.3385658089180421,-0.008232914565574623,0.013073200019811253
geometry,linear,897,72,5.12973565191832,6.705687628476736,-0.14791226073780295,-0.020787828656242527,5.125385595777076,0.6767485814021538,6.687658040119122,0.5803929768677063,-0.1482644283468834,0.10506508763196795
geometry,ridge_cv,897,72,4.415185764964674,5.491030597450827,0.23028529357212524,0.06268530378256656,4.424510088190057,0.5985636369960995,5.443670480579437,0.8519983657135015,0.23189024938031616,0.1887750677483803
geometry,lasso_cv,897,72,3.8487304359210333,4.606523687047949,0.45828772789557337,0.170360660144498,3.856303293615619,0.34967993542373355,4.593292411334322,0.48900829683571917,0.45110127177429826,0.11780747577924298
geometry,elasticnet_cv,897,72,3.7041657983342082,4.479766353229507,0.48769005794911024,0.26434256860879324,3.7076022523359398,0.46999675279514996,4.440273743370375,0.6355201943116527,0.4841209241692367,0.1399154614548877
geometry,svr_rbf,897,72,4.6948830075141865,5.556967683733392,0.2116886140451969,0.5617778030266238,4.695717941950552,0.39748616551660165,5.542928361597747,0.4632112489360668,0.1988382556184305,0.17012941843994148
geometry,knn,897,72,4.795333445840678,5.903270167883549,0.11037418643138897,-0.32170647163528027,4.791720486830284,0.35463236789061175,5.866489245435172,0.597848124454647,0.1063434764997246,0.18235728070556
geometry,random_forest,897,72,3.9826170628384165,4.755706052166304,0.4226328593874368,0.023942894939532264,3.9882526088522203,0.34056732527198985,4.745601752655283,0.4518940068423128,0.41685592701616264,0.1017030033815056
geometry,extra_trees,897,72,3.685127779201225,4.54954774824547,0.4716052283169998,-0.054443714265470095,3.687231396738688,0.31837135916021675,4.541711140738369,0.37986171673227825,0.466926276948252,0.07899183842250469
geometry,gradient_boosting,897,72,4.069740684380612,4.869443953417267,0.3946858864901185,0.4273624986354328,4.077679048470505,0.5436890451430505,4.828820510193102,0.7268510429516075,0.3914137031455005,0.16417097561725877
geometry,hist_gradient_boosting,897,72,4.009748074629578,4.824870303834079,0.4057169489969513,-0.20079650327057763,4.0131434495906415,0.4178094394590383,4.796646934030923,0.5892067188517858,0.40582392658148725,0.10814653350085422
geometry,adaboost,897,72,3.9986715569140117,4.796060925373541,0.4127927083825351,-0.0712608288779602,4.009756887843346,0.42662951027251655,4.777640570844879,0.5636144987940449,0.40497499284442,0.1417500347879964
physics,mean,32,72,5.28465606352651,6.26675450663813,-0.0025531849439668353,-0.0010387576811491507,5.286758013238376,0.34413604563211375,6.260243342937577,0.3159617267555009,-0.006740431103378431,0.006243140935729595
physics,median,32,72,5.28194178475274,6.27311205836227,-0.004588374542843887,0.23088788986206055,5.284326311747233,0.37198812728353886,6.2657689902824005,0.3385658089180421,-0.008232914565574623,0.013073200019811253
physics,linear,32,72,10.469266743300993,15.626356243618984,-5.233579446610402,-0.8505426741836192,10.348159915658643,3.8135281546054682,14.215515397178972,6.02716598569438,-5.136551979392654,4.653340093231133
physics,ridge_cv,32,72,5.390839856183202,7.11832073273518,-0.29353195400064225,-0.434246182271375,5.372553776097763,1.4240239140272732,6.744740760522291,2.144811988158568,-0.2731803218443218,0.8656763369856832
physics,lasso_cv,32,72,5.191975994744932,6.867190176212406,-0.20387170257197496,-0.4238776393143819,5.17325942486086,1.1226913971593897,6.535328028117327,1.9698677537971923,-0.19210139156492284,0.7863664527408969
physics,elasticnet_cv,32,72,5.072062568717923,6.573516421163447,-0.10310679888085028,-0.28664285473952866,5.060677112817591,1.0891744568456898,6.331414544645168,1.6554194786815553,-0.09495977360865213,0.6109094364079174
physics,svr_rbf,32,72,4.67176902222106,5.688129084339459,0.17403633231009352,-0.3763422650460575,4.6661073008727385,0.568697373227252,5.645231982113533,0.7021570568164729,0.18017635155174055,0.132973956828816
physics,knn,32,72,4.564991102906104,5.641556396399398,0.1875064445547734,-0.2273705159546993,4.573071131257069,0.6140367103886845,5.602985691544445,0.7554331565352804,0.18547863160584316,0.1785969016895239
physics,random_forest,32,72,3.517638144891026,4.352009214609196,0.5164942207970384,-0.11236118645553124,3.517793245400859,0.3177886280262072,4.33579569605334,0.4246268424624948,0.5160138985167148,0.06403461128779143
physics,extra_trees,32,72,3.531581432564128,4.37167153405776,0.5121154060861552,-0.3781675498363622,3.526454824306202,0.4439680020267237,4.337536966727166,0.5891597618916847,0.5068276205675871,0.13486630338866823
physics,gradient_boosting,32,72,3.9145161380011495,4.793673629171689,0.41337714167815276,-0.22279445100067485,3.921905452427173,0.487011356711437,4.759179077200463,0.6802746779892646,0.4079756210948501,0.1494417153624651
physics,hist_gradient_boosting,32,72,3.699254148082998,4.645430625302414,0.44909842446381276,-0.0863548410337156,3.6937714447296734,0.5037632921062727,4.613050378388154,0.5439228580659538,0.44876586666310414,0.10661895965879956
physics,adaboost,32,72,3.42016000383452,4.286419449396832,0.530958369713943,-0.2122701498961901,3.420560944776342,0.4847340065387602,4.233438050575191,0.7191107580019775,0.5334921767309508,0.12665479562639237
aux,mean,159,72,5.28465606352651,6.26675450663813,-0.0025531849439668353,-0.0010387576811491507,5.286758013238376,0.34413604563211375,6.260243342937577,0.3159617267555009,-0.006740431103378431,0.006243140935729595
aux,median,159,72,5.28194178475274,6.27311205836227,-0.004588374542843887,0.23088788986206055,5.284326311747233,0.37198812728353886,6.2657689902824005,0.3385658089180421,-0.008232914565574623,0.013073200019811253
aux,linear,159,72,9.19302801182466,27.9350362408987,-18.921431169049185,3.6179625427509357,9.2754546921947,6.168881751964439,18.670938239291324,21.26152864178503,-21.30606232356717,41.33806699654344
aux,ridge_cv,159,72,5.564369500727654,15.053921768498258,-4.785239816554707,1.8457592877333435,5.6204324598735855,3.491461037896906,10.194662737919575,11.343573808807557,-5.4827405982783155,11.923714659438277
aux,lasso_cv,159,72,3.883430983705381,4.7131526523271114,0.43291903553264843,0.17793978181082204,3.8864660937406716,0.2926828252018167,4.696938498321489,0.507028237591914,0.42550425222493604,0.13074935671818438
aux,elasticnet_cv,159,72,5.229140003505187,13.715925526020817,-3.802554407888695,1.7478887205844933,5.279001488798061,3.1924845148780547,9.446821521364617,10.188457659752292,-4.372800916812606,9.786846841164087
aux,svr_rbf,159,72,4.1683670559952,5.028480319057027,0.35450101107300624,-0.13572301045753196,4.170921972760155,0.16695508260282366,5.029061810254065,0.31234205303388723,0.3447033733493103,0.09386602934879508
