epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.48765,3.48765,0.00056,9.4686,11.6884,-1.6174
1,val,2.41182,2.41155,0.05336,7.8974,9.7193,-1.5141
2,train,2.07208,2.07196,0.02436,6.8198,9.0091,-0.6720
2,val,1.58045,1.58024,0.04264,6.4108,7.8677,-0.6474
3,train,1.88714,1.88708,0.01070,7.1540,8.5977,-0.4196
3,val,1.10545,1.10530,0.02871,5.3731,6.5801,-0.1523
4,train,1.51098,1.51094,0.00784,6.6286,7.6933,-0.0444
4,val,0.91433,0.91426,0.01447,5.0973,5.9845,0.0469
5,train,1.19756,1.19756,0.00076,5.7589,6.8492,0.0906
5,val,0.81030,0.81029,0.00283,4.7853,5.6339,0.1553
6,train,1.49333,1.49333,0.00003,6.6942,7.6483,0.0711
6,val,0.79655,0.79655,0.00032,4.6445,5.5859,0.1696
7,train,1.27397,1.27397,0.00000,5.5574,7.0643,0.1945
7,val,0.59565,0.59565,0.00008,3.9127,4.8304,0.3790
8,train,0.67163,0.67163,0.00000,3.9853,5.1293,0.4654
8,val,0.67552,0.67552,0.00002,4.3124,5.1441,0.2958
9,train,0.60418,0.60418,0.00000,3.6678,4.8649,0.5399
9,val,0.60223,0.60223,0.00003,3.8225,4.8570,0.3722
10,train,0.72655,0.72655,0.00000,4.3048,5.3349,0.3921
10,val,0.67066,0.67066,0.00025,4.0389,5.1256,0.3008
11,train,0.53374,0.53374,0.00000,3.7853,4.5725,0.5710
11,val,0.63601,0.63599,0.00333,4.1755,4.9913,0.3370
12,train,0.51080,0.51080,0.00004,3.6156,4.4732,0.6000
12,val,0.56273,0.56264,0.01795,3.8364,4.6947,0.4134
13,train,0.51973,0.51971,0.00429,3.6054,4.5120,0.6498
13,val,0.61989,0.61965,0.04774,4.0979,4.9268,0.3540
14,train,0.29566,0.29564,0.00460,2.7221,3.4030,0.7629
14,val,0.85446,0.85412,0.06774,4.8128,5.7843,0.1096
15,train,0.28691,0.28684,0.01481,2.6482,3.3520,0.7980
15,val,0.71411,0.71372,0.07815,4.3689,5.2875,0.2559
16,train,0.25666,0.25654,0.02407,2.3511,3.1700,0.8334
16,val,0.66598,0.66555,0.08618,4.1144,5.1060,0.3062
17,train,0.23359,0.23348,0.02263,2.4143,3.0242,0.8248
17,val,0.74219,0.74179,0.07998,4.3943,5.3905,0.2267
18,train,0.17791,0.17789,0.00477,2.1840,2.6397,0.8691
18,val,0.61835,0.61801,0.06819,4.1991,4.9202,0.3557
19,train,0.30014,0.30013,0.00336,2.4287,3.4288,0.7742
19,val,0.63809,0.63776,0.06559,4.0560,4.9982,0.3351
20,train,0.17287,0.17284,0.00552,2.1037,2.6020,0.8750
20,val,0.58977,0.58944,0.06598,3.9704,4.8052,0.3855
21,train,0.16634,0.16632,0.00366,1.9415,2.5525,0.8856
21,val,0.65362,0.65330,0.06425,4.1516,5.0588,0.3189
22,train,0.15404,0.15401,0.00554,1.9151,2.4562,0.8771
22,val,0.58533,0.58498,0.06976,3.9524,4.7870,0.3902
23,train,0.15988,0.15987,0.00258,1.8911,2.5025,0.8914
23,val,0.60442,0.60406,0.07185,4.0091,4.8644,0.3703
24,train,0.19767,0.19765,0.00405,1.9484,2.7825,0.8363
24,val,0.70783,0.70749,0.06745,4.3751,5.2644,0.2624
25,train,0.10612,0.10611,0.00202,1.6770,2.0388,0.9254
25,val,0.54092,0.54061,0.06201,3.8109,4.6018,0.4364
26,train,0.08049,0.08047,0.00449,1.4481,1.7754,0.9337
26,val,0.75514,0.75490,0.04821,4.5326,5.4379,0.2130
27,train,0.16164,0.16163,0.00165,1.6277,2.5163,0.8625
27,val,0.60147,0.60125,0.04349,4.0872,4.8531,0.3732
28,train,0.16509,0.16508,0.00228,1.8842,2.5429,0.8729
28,val,0.76559,0.76538,0.04350,4.3862,5.4755,0.2021
29,train,0.13766,0.13765,0.00138,1.8372,2.3221,0.8907
29,val,0.73404,0.73382,0.04281,4.3832,5.3615,0.2350
30,train,0.09741,0.09741,0.00110,1.5277,1.9533,0.9322
30,val,0.58638,0.58618,0.04009,3.9895,4.7919,0.3889
31,train,0.06503,0.06493,0.02003,1.2719,1.5949,0.9477
31,val,0.60282,0.60260,0.04430,3.9229,4.8585,0.3718
32,train,0.12279,0.12279,0.00088,1.7578,2.1932,0.9167
32,val,0.61989,0.61967,0.04439,4.0314,4.9269,0.3540
33,train,0.11674,0.11671,0.00542,1.5448,2.1382,0.9111
33,val,0.72683,0.72661,0.04413,4.4413,5.3351,0.2425
34,train,0.06255,0.06253,0.00321,1.1763,1.5651,0.9609
34,val,0.69462,0.69438,0.04757,4.2387,5.2154,0.2761
35,train,0.10531,0.10529,0.00343,1.5752,2.0309,0.9126
35,val,0.70931,0.70908,0.04592,4.3478,5.2703,0.2608
36,train,0.08365,0.08363,0.00552,1.3465,1.8099,0.9489
36,val,0.72395,0.72374,0.04249,4.4616,5.3245,0.2455
37,train,0.07735,0.07734,0.00153,1.3583,1.7405,0.9320
37,val,0.65326,0.65303,0.04597,4.1716,5.0577,0.3192
38,train,0.06995,0.06991,0.00905,1.3001,1.6548,0.9484
38,val,0.64254,0.64233,0.04347,4.1445,5.0161,0.3304
39,train,0.07278,0.07277,0.00155,1.2765,1.6884,0.9532
39,val,0.77091,0.77071,0.03960,4.6709,5.4946,0.1965
