epoch,phase,total,main,murray,press,smooth,physio,mono,spread,mae,rmse,r2
1,train,7.04460,6.57384,0.00079,0.00005,0.00914,0.03412,0.00000,0.94041,13.5434,15.0184,-4.3342
1,val,5.48540,5.12178,0.00379,0.00001,0.00932,0.00045,0.00000,0.72582,11.2918,13.0852,-2.8242
2,train,6.00727,5.54057,0.01117,0.00002,0.01427,0.05073,0.00000,0.92863,10.2964,12.6609,-1.8506
2,val,4.61041,4.24548,0.03012,0.00001,0.00932,0.00044,0.00000,0.72069,9.0066,11.1569,-1.7802
3,train,6.60282,6.14438,0.03315,0.00006,0.01435,0.12463,0.00000,0.90189,10.2330,12.1013,-1.6738
3,val,3.72023,3.35428,0.05734,0.00001,0.00932,0.00045,0.00000,0.71080,7.2614,9.0046,-0.8110
4,train,4.99462,4.56552,0.07018,0.00006,0.01466,0.00033,0.00000,0.82792,7.5276,9.4645,-0.6575
4,val,2.89709,2.52679,0.13187,0.00001,0.00932,0.00046,0.00000,0.69186,5.6848,6.9166,-0.0685
5,train,3.71443,3.30107,0.09247,0.00007,0.01183,0.05038,0.00000,0.77417,6.7726,7.9547,-0.1542
5,val,2.25469,1.89444,0.21224,0.00001,0.00932,0.00046,0.00000,0.63678,4.8187,5.8067,0.2469
6,train,2.75660,2.39689,0.39937,0.00003,0.01387,0.00044,0.00000,0.58304,5.3126,6.1738,0.3413
6,val,1.57833,1.29196,0.24030,0.00001,0.00932,0.00047,0.00000,0.47094,4.5365,5.0138,0.4386
7,train,1.25419,1.05353,0.31507,0.00004,0.01258,0.00031,0.00000,0.28753,3.6715,4.6599,0.5855
7,val,0.81376,0.69984,0.29044,0.00001,0.00932,0.00047,0.00000,0.11674,3.8190,4.2325,0.5999
8,train,1.22793,1.08465,0.40556,0.00004,0.01134,0.03550,0.00000,0.15117,3.6248,4.8307,0.5079
8,val,0.66355,0.59065,0.17664,0.00001,0.00932,0.00048,0.00000,0.05738,3.4668,4.1041,0.6238
9,train,0.96309,0.85033,0.23153,0.00008,0.01607,0.00028,0.00000,0.10652,3.5262,4.3380,0.6903
9,val,0.44556,0.39949,0.16429,0.00001,0.00932,0.00048,0.00000,0.00000,3.2510,4.1908,0.6077
