epoch,phase,total,main,murray,press,smooth,physio,mono,spread,mae,rmse,r2
1,train,4.28084,3.98748,0.00423,0.00008,0.07484,19.04653,0.00000,0.20342,8.5071,9.9774,-0.8818
1,val,1.63282,0.83405,0.01001,0.00004,0.06260,51.09653,0.00000,0.57232,2.9126,3.5518,0.6424
2,train,3.22510,2.86711,0.00775,0.00006,0.04767,15.48340,0.00000,0.40376,6.7427,8.0852,-0.1415
2,val,1.34839,0.92462,0.01396,0.00004,0.06260,35.30051,0.00000,0.13747,2.5887,3.7297,0.6057
3,train,2.57394,2.42350,0.02323,0.00020,0.06029,10.36101,0.00000,0.08774,6.1234,7.3562,0.0814
3,val,1.16672,0.83374,0.03402,0.00003,0.06260,32.89304,0.00000,0.00000,2.7893,4.0213,0.5416
4,train,1.68060,1.25924,0.03370,0.00018,0.04833,37.69227,0.00000,0.08105,4.2118,5.2522,0.5411
4,val,1.25785,0.93243,0.03277,0.00003,0.06260,32.14972,0.00000,0.00000,4.7894,5.6969,0.0800
5,train,1.73450,1.38693,0.02193,0.00037,0.05238,32.73244,0.00000,0.03487,4.6760,6.1851,0.1271
5,val,1.31382,0.99889,0.01125,0.00004,0.06260,31.22636,0.00000,0.00176,4.4422,5.2584,0.2162
6,train,0.90457,0.77204,0.01478,0.00008,0.04288,12.36882,0.00000,0.01368,4.3001,5.5852,0.4337
6,val,1.08904,0.78213,0.01069,0.00004,0.06260,30.42506,0.00000,0.00185,3.2452,4.0176,0.5424
7,train,0.95831,0.74784,0.01441,0.00018,0.05011,20.82700,0.00000,0.00022,3.5659,4.3489,0.5899
7,val,1.07807,0.72411,0.00869,0.00004,0.06260,29.69979,0.00000,0.11076,3.9222,4.5751,0.4067
8,train,0.60506,0.51773,0.01144,0.00005,0.06252,6.43932,0.00000,0.04199,2.7202,3.5267,0.7773
8,val,1.17293,0.74638,0.01030,0.00003,0.06260,28.99546,0.00000,0.26976,3.7541,4.1833,0.5039
9,train,0.85403,0.64530,0.01305,0.00008,0.04899,16.64081,0.00000,0.08081,3.4638,3.9631,0.7114
9,val,1.09241,0.70846,0.00748,0.00003,0.06260,28.28490,0.00000,0.19938,3.3484,3.8788,0.5735
10,train,0.93814,0.86751,0.01275,0.00001,0.06461,4.23231,0.00000,0.05255,3.2699,3.9508,0.7546
10,val,0.86477,0.58611,0.00410,0.00003,0.06260,27.73602,0.00000,0.00046,3.7585,4.2703,0.4831
11,train,0.99447,0.83522,0.00888,0.00014,0.07491,14.65750,0.00000,0.02184,3.9523,4.8744,0.5607
11,val,0.83822,0.56585,0.00389,0.00003,0.06260,27.13181,0.00000,0.00000,4.1526,4.8531,0.3324
12,train,0.70810,0.61641,0.01006,0.00012,0.05996,8.98696,0.00000,0.00000,3.8890,4.6437,0.4995
12,val,0.92398,0.65560,0.00643,0.00003,0.06260,26.66422,0.00000,0.00088,3.5705,4.2633,0.4848
13,train,0.70030,0.50021,0.01304,0.00023,0.05502,19.08584,0.00000,0.01446,3.4199,4.9297,0.4949
13,val,1.14038,0.78446,0.00780,0.00003,0.06260,26.00614,0.00000,0.18878,3.4248,4.1051,0.5223
14,train,0.80262,0.67782,0.00847,0.00004,0.06472,8.03780,0.00000,0.08544,3.1016,3.8614,0.7546
14,val,0.93309,0.65623,0.01524,0.00003,0.06260,25.35365,0.00000,0.04213,3.5237,4.0243,0.5409
15,train,0.48429,0.38900,0.01061,0.00011,0.06432,8.51199,0.00000,0.01626,2.6516,3.4822,0.7580
15,val,0.83850,0.58972,0.00564,0.00003,0.06260,24.72421,0.00000,0.00041,3.6829,4.1653,0.5082
16,train,0.79233,0.64800,0.00557,0.00011,0.05846,9.17239,0.00000,0.10222,3.1679,4.0470,0.6720
16,val,1.09624,0.83964,0.00328,0.00003,0.06260,24.15547,0.00000,0.02798,3.4261,4.1249,0.5177
17,train,0.73338,0.64720,0.00850,0.00003,0.05343,8.19350,0.00000,0.00527,3.7510,4.5509,0.6103
17,val,1.10303,0.83438,0.00763,0.00003,0.06260,23.68339,0.00000,0.06065,3.3487,4.0416,0.5370
18,train,0.54778,0.43645,0.00964,0.00013,0.06324,10.02341,0.00000,0.01819,2.8054,3.5894,0.7398
18,val,1.04562,0.75053,0.00334,0.00003,0.06260,23.24252,0.00000,0.12309,3.9375,4.5810,0.4051
19,train,0.58744,0.45887,0.00777,0.00021,0.06074,8.84749,0.00000,0.07593,2.5806,3.1368,0.8559
19,val,0.95619,0.67932,0.00517,0.00003,0.06260,22.89225,0.00000,0.09316,3.9132,4.4894,0.4287
20,train,0.66142,0.50169,0.00897,0.00000,0.07035,15.49315,0.00000,0.00500,2.9058,3.7858,0.7370
20,val,0.90387,0.67125,0.00614,0.00002,0.06260,22.49656,0.00000,0.01229,3.8289,4.4164,0.4471
21,train,0.33468,0.30329,0.01403,0.00002,0.06935,2.36396,0.00000,0.00933,2.7079,3.5654,0.7761
21,val,0.85131,0.60810,0.00547,0.00002,0.06260,22.12390,0.00000,0.04101,3.3998,4.1292,0.5167
22,train,0.58691,0.51805,0.00853,0.00011,0.05933,6.39730,0.00000,0.00493,2.7462,3.5643,0.8121
22,val,1.26290,0.98505,0.00364,0.00002,0.06260,21.85190,0.00000,0.11600,3.0558,3.9566,0.5562
23,train,0.46940,0.39770,0.00890,0.00001,0.04832,6.35970,0.00000,0.01174,2.6409,3.4593,0.7729
23,val,1.27280,0.94594,0.00531,0.00002,0.06260,21.59727,0.00000,0.21865,3.3786,4.1714,0.5067
24,train,0.51906,0.41376,0.00720,0.00020,0.04518,9.83150,0.00000,0.00998,3.0060,3.6105,0.7141
24,val,1.23995,0.95678,0.00367,0.00002,0.06260,21.30129,0.00000,0.13751,3.2320,4.0150,0.5430
25,train,0.42241,0.40770,0.00743,0.00001,0.05869,1.24285,0.00000,0.00000,2.8922,3.6208,0.7359
25,val,1.24945,0.90777,0.00524,0.00002,0.06260,21.10982,0.00000,0.25807,3.3309,4.0212,0.5416
26,train,0.30836,0.26965,0.00457,0.00009,0.06482,2.28647,0.00000,0.02791,2.1545,2.8248,0.8406
26,val,1.26390,0.95924,0.00462,0.00002,0.06260,20.97610,0.00000,0.18642,3.4561,4.1648,0.5083
27,train,0.46467,0.37491,0.00611,0.00000,0.05758,5.43189,0.00000,0.06620,2.9347,3.5769,0.7029
27,val,1.05214,0.80155,0.00504,0.00002,0.06260,20.85159,0.00000,0.08012,4.3063,4.8431,0.3351
28,train,0.40484,0.35954,0.00974,0.00010,0.05210,1.06494,0.00000,0.06435,2.6291,3.2552,0.7728
28,val,1.00238,0.77215,0.00427,0.00002,0.06260,20.76568,0.00000,0.04090,4.8542,5.6052,0.1094
29,train,0.43844,0.36419,0.00577,0.00026,0.07327,6.98877,0.00000,0.00184,2.5122,3.1029,0.8233
29,val,1.21844,0.99991,0.00384,0.00002,0.06260,20.66504,0.00000,0.01923,4.4541,4.8994,0.3196
30,train,0.46234,0.44395,0.00703,0.00009,0.07712,1.10414,0.00000,0.00669,2.7157,3.5281,0.8063
30,val,1.31943,1.06982,0.00370,0.00002,0.06260,20.60483,0.00000,0.08269,3.8983,4.5270,0.4191
31,train,0.39538,0.33675,0.00933,0.00019,0.06709,4.70959,0.00000,0.01607,2.6238,3.2936,0.7678
31,val,1.64635,1.22697,0.00350,0.00002,0.06260,20.54323,0.00000,0.42294,4.8054,5.1707,0.2421
32,train,0.36933,0.28966,0.00378,0.00001,0.06111,6.29588,0.00000,0.02673,2.1037,2.5465,0.8858
32,val,1.50115,1.18577,0.00532,0.00002,0.06260,20.48100,0.00000,0.21499,4.4928,5.0549,0.2757
33,train,0.52884,0.45434,0.01122,0.00001,0.04931,6.71981,0.00000,0.00461,2.6772,3.2880,0.8193
33,val,1.46823,1.18261,0.00322,0.00002,0.06260,20.38430,0.00000,0.15717,4.4187,5.0215,0.2852
34,train,0.34550,0.29307,0.00536,0.00009,0.04985,4.36706,0.00000,0.00904,2.6686,3.6439,0.7735
34,val,1.42259,1.19633,0.00293,0.00002,0.06260,20.28114,0.00000,0.04001,4.4313,4.9869,0.2950
35,train,0.42556,0.37588,0.00565,0.00001,0.05247,4.20347,0.00000,0.00689,2.5482,3.4075,0.7650
35,val,1.52327,1.25450,0.00394,0.00002,0.06260,20.16356,0.00000,0.12750,4.2420,4.9834,0.2960
36,train,0.29439,0.26270,0.00641,0.00001,0.04206,2.01912,0.00000,0.01392,1.9523,2.5536,0.8985
36,val,1.56078,1.29782,0.00467,0.00002,0.06260,20.08105,0.00000,0.11736,4.1990,4.9648,0.3013
37,train,0.31296,0.22359,0.00715,0.00001,0.06862,7.90291,0.00000,0.01229,2.0011,2.7410,0.8491
37,val,1.53550,1.29543,0.00762,0.00002,0.06260,19.96951,0.00000,0.07293,4.2750,4.9578,0.3032
38,train,0.27016,0.25335,0.01355,0.00001,0.05256,0.95623,0.00000,0.00157,2.2022,2.9108,0.8603
38,val,1.66163,1.38122,0.01477,0.00002,0.06260,19.88562,0.00000,0.15347,4.0740,4.9410,0.3079
39,train,0.35359,0.30073,0.01559,0.00026,0.06270,2.71833,0.00000,0.03671,2.3894,3.0683,0.8305
39,val,1.50879,1.21123,0.01197,0.00002,0.06260,19.80473,0.00000,0.18994,4.3502,4.9949,0.2928
40,train,0.29747,0.25039,0.01249,0.00001,0.04178,3.23200,0.00000,0.01540,2.3233,2.8006,0.8371
40,val,1.47961,1.20424,0.00770,0.00002,0.06260,19.71564,0.00000,0.14810,4.1902,4.8160,0.3425
41,train,0.32492,0.27010,0.01127,0.00009,0.06197,4.35073,0.00000,0.00413,2.2944,2.8545,0.8530
41,val,1.58139,1.30955,0.01043,0.00002,0.06260,19.58947,0.00000,0.14295,4.1084,4.7738,0.3540
42,train,0.22516,0.15523,0.01862,0.00001,0.05492,0.95069,0.00000,0.10429,1.8127,2.3775,0.8585
42,val,1.57057,1.28815,0.02244,0.00002,0.06260,19.51728,0.00000,0.16336,4.3380,4.9381,0.3088
